Parameter,Value
Param_1,99
Param_2,897
Param_3,260
Param_4,952
Param_5,658
Param_6,440
Param_7,609
Param_8,910
Param_9,473
Param_10,924
Param_11,739
Param_12,436
Param_13,188
Param_14,945
Param_15,632
Param_16,671
Param_17,563
Param_18,432
Param_19,54
Param_20,826
Param_21,59
Param_22,945
Param_23,864
Param_24,433
Param_25,911
Param_26,73
Param_27,344
Param_28,358
Param_29,223
Param_30,581
Param_31,883
Param_32,744
Param_33,592
Param_34,308
Param_35,127
Param_36,403
Param_37,288
Param_38,256
Param_39,680
Param_40,129
Param_41,705
Param_42,441
Param_43,793
Param_44,535
Param_45,392
Param_46,970
Param_47,837
Param_48,975
Param_49,704
Param_50,341
Param_51,426
Param_52,441
Param_53,659
Param_54,424
Param_55,782
Param_56,465
Param_57,492
Param_58,544
Param_59,434
Param_60,270
Param_61,250
Param_62,936
Param_63,748
Param_64,733
Param_65,435
Param_66,261
Param_67,192
Param_68,353
Param_69,816
Param_70,124
Param_71,477
Param_72,912
Param_73,51
Param_74,230
Param_75,45
Param_76,150
Param_77,652
Param_78,209
Param_79,584
Param_80,562
Param_81,599
Param_82,42
Param_83,95
Param_84,244
Param_85,176
Param_86,309
Param_87,634
Param_88,982
Param_89,560
Param_90,310
Param_91,302
Param_92,18
Param_93,81
Param_94,209
Param_95,879
Param_96,701
Param_97,725
Param_98,252
Param_99,440
Param_100,637
