Site: Lucknow
Date: 2025-10-20
Coordinates: -30.510933, 25.135435
Line 1: Temp=31°C, Humidity=83%, Weather=Cloudy, Battery=89%, Data=Pending
Line 2: Temp=30°C, Humidity=75%, Weather=Cloudy, Battery=97%, Data=Completed
Line 3: Temp=29°C, Humidity=80%, Weather=Windy, Battery=87%, Data=Partial
Line 4: Temp=31°C, Humidity=84%, Weather=Cloudy, Battery=94%, Data=Partial
Line 5: Temp=29°C, Humidity=78%, Weather=Foggy, Battery=85%, Data=Completed
Line 6: Temp=27°C, Humidity=84%, Weather=Windy, Battery=100%, Data=Completed
Line 7: Temp=27°C, Humidity=81%, Weather=Windy, Battery=90%, Data=Completed
Line 8: Temp=30°C, Humidity=81%, Weather=Windy, Battery=98%, Data=Completed
Line 9: Temp=29°C, Humidity=81%, Weather=Sunny, Battery=96%, Data=Pending
Line 10: Temp=28°C, Humidity=78%, Weather=Cloudy, Battery=96%, Data=Pending
Line 11: Temp=28°C, Humidity=78%, Weather=Cloudy, Battery=86%, Data=Pending
Line 12: Temp=30°C, Humidity=82%, Weather=Rainy, Battery=83%, Data=Pending
Line 13: Temp=29°C, Humidity=78%, Weather=Foggy, Battery=100%, Data=Completed
Line 14: Temp=29°C, Humidity=74%, Weather=Rainy, Battery=97%, Data=Completed
Line 15: Temp=28°C, Humidity=76%, Weather=Rainy, Battery=80%, Data=Pending
Line 16: Temp=29°C, Humidity=74%, Weather=Rainy, Battery=88%, Data=Completed
Line 17: Temp=30°C, Humidity=81%, Weather=Sunny, Battery=88%, Data=Partial
Line 18: Temp=31°C, Humidity=80%, Weather=Rainy, Battery=89%, Data=Completed
Line 19: Temp=27°C, Humidity=74%, Weather=Sunny, Battery=85%, Data=Completed
Line 20: Temp=27°C, Humidity=74%, Weather=Sunny, Battery=90%, Data=Partial
Line 21: Temp=27°C, Humidity=79%, Weather=Sunny, Battery=96%, Data=Partial
Line 22: Temp=27°C, Humidity=78%, Weather=Sunny, Battery=99%, Data=Completed
Line 23: Temp=27°C, Humidity=76%, Weather=Rainy, Battery=89%, Data=Completed
Line 24: Temp=29°C, Humidity=78%, Weather=Foggy, Battery=80%, Data=Partial
Line 25: Temp=27°C, Humidity=81%, Weather=Windy, Battery=90%, Data=Partial
Line 26: Temp=30°C, Humidity=83%, Weather=Rainy, Battery=84%, Data=Pending
Line 27: Temp=28°C, Humidity=83%, Weather=Sunny, Battery=81%, Data=Pending
Line 28: Temp=29°C, Humidity=81%, Weather=Sunny, Battery=87%, Data=Completed
Line 29: Temp=27°C, Humidity=74%, Weather=Windy, Battery=91%, Data=Partial
Line 30: Temp=31°C, Humidity=79%, Weather=Foggy, Battery=96%, Data=Pending
Line 31: Temp=29°C, Humidity=76%, Weather=Sunny, Battery=84%, Data=Completed
Line 32: Temp=28°C, Humidity=78%, Weather=Sunny, Battery=85%, Data=Partial
Line 33: Temp=28°C, Humidity=82%, Weather=Foggy, Battery=95%, Data=Pending
Line 34: Temp=27°C, Humidity=84%, Weather=Rainy, Battery=83%, Data=Completed
Line 35: Temp=27°C, Humidity=80%, Weather=Windy, Battery=82%, Data=Completed
Line 36: Temp=27°C, Humidity=83%, Weather=Sunny, Battery=95%, Data=Completed
Line 37: Temp=27°C, Humidity=75%, Weather=Cloudy, Battery=100%, Data=Pending
Line 38: Temp=30°C, Humidity=83%, Weather=Rainy, Battery=85%, Data=Completed
Line 39: Temp=27°C, Humidity=78%, Weather=Cloudy, Battery=100%, Data=Completed
Line 40: Temp=29°C, Humidity=78%, Weather=Cloudy, Battery=97%, Data=Completed
Line 41: Temp=29°C, Humidity=80%, Weather=Sunny, Battery=96%, Data=Completed
Line 42: Temp=29°C, Humidity=75%, Weather=Rainy, Battery=91%, Data=Completed
Line 43: Temp=27°C, Humidity=80%, Weather=Foggy, Battery=96%, Data=Completed
Line 44: Temp=30°C, Humidity=82%, Weather=Cloudy, Battery=81%, Data=Completed
Line 45: Temp=28°C, Humidity=81%, Weather=Cloudy, Battery=88%, Data=Pending
Line 46: Temp=30°C, Humidity=82%, Weather=Foggy, Battery=87%, Data=Completed
Line 47: Temp=31°C, Humidity=81%, Weather=Rainy, Battery=84%, Data=Completed
Line 48: Temp=30°C, Humidity=82%, Weather=Windy, Battery=90%, Data=Completed
Line 49: Temp=28°C, Humidity=77%, Weather=Cloudy, Battery=87%, Data=Completed
Line 50: Temp=31°C, Humidity=80%, Weather=Sunny, Battery=95%, Data=Partial
Line 51: Temp=31°C, Humidity=77%, Weather=Windy, Battery=89%, Data=Pending
Line 52: Temp=28°C, Humidity=83%, Weather=Foggy, Battery=88%, Data=Pending
