Parameter,Value
Param_1,813
Param_2,146
Param_3,350
Param_4,904
Param_5,688
Param_6,445
Param_7,539
Param_8,451
Param_9,680
Param_10,125
Param_11,370
Param_12,128
Param_13,392
Param_14,756
Param_15,224
Param_16,536
Param_17,161
Param_18,38
Param_19,755
Param_20,158
Param_21,825
Param_22,12
Param_23,687
Param_24,372
Param_25,423
Param_26,579
Param_27,457
Param_28,752
Param_29,259
Param_30,731
Param_31,176
Param_32,724
Param_33,287
Param_34,163
Param_35,265
Param_36,804
Param_37,736
Param_38,192
Param_39,841
Param_40,662
Param_41,954
Param_42,63
Param_43,62
Param_44,62
Param_45,144
Param_46,527
Param_47,86
Param_48,479
Param_49,916
Param_50,633
Param_51,833
Param_52,281
Param_53,935
Param_54,993
Param_55,109
Param_56,339
Param_57,789
Param_58,953
Param_59,547
Param_60,27
Param_61,199
Param_62,720
Param_63,671
Param_64,274
Param_65,326
Param_66,838
Param_67,868
Param_68,57
Param_69,932
Param_70,568
Param_71,986
Param_72,442
Param_73,293
Param_74,494
Param_75,972
Param_76,638
Param_77,71
Param_78,493
Param_79,352
Param_80,529
Param_81,260
Param_82,217
Param_83,667
Param_84,435
Param_85,788
Param_86,453
Param_87,571
Param_88,752
Param_89,469
Param_90,356
Param_91,396
Param_92,945
Param_93,850
Param_94,830
Param_95,232
Param_96,27
Param_97,126
Param_98,957
Param_99,421
Param_100,160
