Parameter,Value
Param_1,648
Param_2,815
Param_3,321
Param_4,683
Param_5,597
Param_6,852
Param_7,248
Param_8,657
Param_9,7
Param_10,817
Param_11,938
Param_12,5
Param_13,165
Param_14,948
Param_15,399
Param_16,931
Param_17,284
Param_18,7
Param_19,376
Param_20,252
Param_21,41
Param_22,176
Param_23,350
Param_24,486
Param_25,428
Param_26,404
Param_27,728
Param_28,727
Param_29,452
Param_30,979
Param_31,687
Param_32,850
Param_33,583
Param_34,824
Param_35,192
Param_36,78
Param_37,899
Param_38,487
Param_39,398
Param_40,884
Param_41,875
Param_42,916
Param_43,894
Param_44,880
Param_45,796
Param_46,809
Param_47,585
Param_48,838
Param_49,624
Param_50,550
Param_51,654
Param_52,1
Param_53,82
Param_54,502
Param_55,679
Param_56,508
Param_57,863
Param_58,732
Param_59,883
Param_60,276
Param_61,124
Param_62,175
Param_63,990
Param_64,751
Param_65,44
Param_66,792
Param_67,537
Param_68,158
Param_69,792
Param_70,30
Param_71,470
Param_72,516
Param_73,166
Param_74,356
Param_75,906
Param_76,957
Param_77,544
Param_78,536
Param_79,27
Param_80,599
Param_81,510
Param_82,695
Param_83,652
Param_84,906
Param_85,442
Param_86,398
Param_87,166
Param_88,924
Param_89,620
Param_90,212
Param_91,52
Param_92,480
Param_93,856
Param_94,49
Param_95,803
Param_96,942
Param_97,4
Param_98,488
Param_99,425
Param_100,121
