Parameter,Value
Param_1,289
Param_2,323
Param_3,320
Param_4,335
Param_5,868
Param_6,959
Param_7,996
Param_8,42
Param_9,841
Param_10,866
Param_11,589
Param_12,161
Param_13,923
Param_14,487
Param_15,406
Param_16,101
Param_17,770
Param_18,974
Param_19,382
Param_20,476
Param_21,380
Param_22,205
Param_23,156
Param_24,561
Param_25,867
Param_26,565
Param_27,82
Param_28,98
Param_29,431
Param_30,420
Param_31,80
Param_32,462
Param_33,602
Param_34,981
Param_35,701
Param_36,33
Param_37,666
Param_38,512
Param_39,664
Param_40,899
Param_41,457
Param_42,310
Param_43,432
Param_44,544
Param_45,762
Param_46,168
Param_47,858
Param_48,570
Param_49,320
Param_50,853
Param_51,954
Param_52,347
Param_53,101
Param_54,563
Param_55,664
Param_56,417
Param_57,299
Param_58,460
Param_59,287
Param_60,675
Param_61,626
Param_62,977
Param_63,787
Param_64,795
Param_65,209
Param_66,980
Param_67,49
Param_68,129
Param_69,570
Param_70,68
Param_71,977
Param_72,677
Param_73,499
Param_74,723
Param_75,458
Param_76,688
Param_77,108
Param_78,954
Param_79,871
Param_80,273
Param_81,611
Param_82,769
Param_83,161
Param_84,884
Param_85,586
Param_86,913
Param_87,593
Param_88,764
Param_89,171
Param_90,171
Param_91,854
Param_92,211
Param_93,750
Param_94,991
Param_95,876
Param_96,196
Param_97,281
Param_98,633
Param_99,515
Param_100,839
