Site: Marseille
Date: 2025-10-10
Coordinates: 72.788325, 69.505981
Line 1: Temp=28°C, Humidity=81%, Weather=Foggy, Battery=96%, Data=Completed
Line 2: Temp=29°C, Humidity=83%, Weather=Windy, Battery=90%, Data=Partial
Line 3: Temp=28°C, Humidity=84%, Weather=Sunny, Battery=100%, Data=Partial
Line 4: Temp=28°C, Humidity=82%, Weather=Cloudy, Battery=87%, Data=Completed
Line 5: Temp=31°C, Humidity=79%, Weather=Sunny, Battery=98%, Data=Completed
Line 6: Temp=27°C, Humidity=81%, Weather=Rainy, Battery=85%, Data=Pending
Line 7: Temp=31°C, Humidity=75%, Weather=Windy, Battery=86%, Data=Pending
Line 8: Temp=29°C, Humidity=75%, Weather=Sunny, Battery=98%, Data=Partial
Line 9: Temp=28°C, Humidity=79%, Weather=Windy, Battery=97%, Data=Partial
Line 10: Temp=30°C, Humidity=81%, Weather=Windy, Battery=99%, Data=Completed
Line 11: Temp=31°C, Humidity=82%, Weather=Sunny, Battery=96%, Data=Completed
Line 12: Temp=29°C, Humidity=75%, Weather=Windy, Battery=90%, Data=Partial
Line 13: Temp=30°C, Humidity=74%, Weather=Sunny, Battery=89%, Data=Partial
Line 14: Temp=27°C, Humidity=82%, Weather=Windy, Battery=85%, Data=Pending
Line 15: Temp=28°C, Humidity=80%, Weather=Windy, Battery=82%, Data=Partial
Line 16: Temp=29°C, Humidity=79%, Weather=Windy, Battery=96%, Data=Completed
Line 17: Temp=30°C, Humidity=77%, Weather=Rainy, Battery=100%, Data=Completed
Line 18: Temp=31°C, Humidity=83%, Weather=Rainy, Battery=87%, Data=Completed
Line 19: Temp=30°C, Humidity=82%, Weather=Cloudy, Battery=83%, Data=Completed
Line 20: Temp=31°C, Humidity=75%, Weather=Foggy, Battery=85%, Data=Partial
Line 21: Temp=27°C, Humidity=74%, Weather=Foggy, Battery=97%, Data=Completed
Line 22: Temp=31°C, Humidity=80%, Weather=Sunny, Battery=84%, Data=Partial
Line 23: Temp=31°C, Humidity=83%, Weather=Sunny, Battery=99%, Data=Partial
Line 24: Temp=27°C, Humidity=76%, Weather=Rainy, Battery=80%, Data=Pending
Line 25: Temp=27°C, Humidity=74%, Weather=Windy, Battery=88%, Data=Pending
Line 26: Temp=29°C, Humidity=75%, Weather=Windy, Battery=97%, Data=Pending
Line 27: Temp=29°C, Humidity=76%, Weather=Foggy, Battery=99%, Data=Completed
Line 28: Temp=31°C, Humidity=78%, Weather=Windy, Battery=90%, Data=Partial
Line 29: Temp=30°C, Humidity=81%, Weather=Cloudy, Battery=96%, Data=Completed
Line 30: Temp=30°C, Humidity=81%, Weather=Foggy, Battery=88%, Data=Partial
Line 31: Temp=27°C, Humidity=79%, Weather=Foggy, Battery=81%, Data=Completed
Line 32: Temp=31°C, Humidity=74%, Weather=Foggy, Battery=95%, Data=Pending
Line 33: Temp=29°C, Humidity=83%, Weather=Windy, Battery=89%, Data=Pending
Line 34: Temp=29°C, Humidity=75%, Weather=Foggy, Battery=91%, Data=Completed
Line 35: Temp=31°C, Humidity=74%, Weather=Sunny, Battery=96%, Data=Partial
Line 36: Temp=30°C, Humidity=74%, Weather=Rainy, Battery=85%, Data=Partial
Line 37: Temp=28°C, Humidity=77%, Weather=Foggy, Battery=99%, Data=Pending
Line 38: Temp=31°C, Humidity=81%, Weather=Rainy, Battery=93%, Data=Completed
Line 39: Temp=27°C, Humidity=82%, Weather=Foggy, Battery=90%, Data=Pending
Line 40: Temp=30°C, Humidity=75%, Weather=Foggy, Battery=98%, Data=Completed
Line 41: Temp=31°C, Humidity=80%, Weather=Foggy, Battery=82%, Data=Pending
Line 42: Temp=28°C, Humidity=74%, Weather=Rainy, Battery=95%, Data=Completed
Line 43: Temp=30°C, Humidity=80%, Weather=Foggy, Battery=88%, Data=Partial
Line 44: Temp=30°C, Humidity=76%, Weather=Rainy, Battery=96%, Data=Pending
Line 45: Temp=27°C, Humidity=77%, Weather=Sunny, Battery=100%, Data=Completed
Line 46: Temp=31°C, Humidity=75%, Weather=Windy, Battery=80%, Data=Partial
Line 47: Temp=29°C, Humidity=79%, Weather=Sunny, Battery=83%, Data=Completed
Line 48: Temp=28°C, Humidity=76%, Weather=Foggy, Battery=82%, Data=Completed
Line 49: Temp=29°C, Humidity=79%, Weather=Cloudy, Battery=88%, Data=Partial
Line 50: Temp=28°C, Humidity=84%, Weather=Sunny, Battery=80%, Data=Completed
Line 51: Temp=29°C, Humidity=84%, Weather=Windy, Battery=84%, Data=Pending
Line 52: Temp=28°C, Humidity=84%, Weather=Sunny, Battery=81%, Data=Pending
Line 53: Temp=31°C, Humidity=78%, Weather=Rainy, Battery=96%, Data=Completed
Line 54: Temp=29°C, Humidity=84%, Weather=Sunny, Battery=80%, Data=Partial
Line 55: Temp=29°C, Humidity=75%, Weather=Rainy, Battery=99%, Data=Completed
Line 56: Temp=30°C, Humidity=80%, Weather=Windy, Battery=100%, Data=Completed
Line 57: Temp=29°C, Humidity=81%, Weather=Sunny, Battery=85%, Data=Pending
Line 58: Temp=30°C, Humidity=80%, Weather=Windy, Battery=87%, Data=Completed
Line 59: Temp=27°C, Humidity=77%, Weather=Rainy, Battery=90%, Data=Partial
Line 60: Temp=28°C, Humidity=83%, Weather=Foggy, Battery=89%, Data=Pending
Line 61: Temp=29°C, Humidity=77%, Weather=Windy, Battery=96%, Data=Pending
Line 62: Temp=28°C, Humidity=81%, Weather=Foggy, Battery=81%, Data=Pending
Line 63: Temp=27°C, Humidity=84%, Weather=Cloudy, Battery=90%, Data=Partial
Line 64: Temp=31°C, Humidity=77%, Weather=Sunny, Battery=99%, Data=Partial
Line 65: Temp=27°C, Humidity=82%, Weather=Foggy, Battery=94%, Data=Completed
Line 66: Temp=27°C, Humidity=80%, Weather=Cloudy, Battery=83%, Data=Pending
Line 67: Temp=28°C, Humidity=78%, Weather=Cloudy, Battery=84%, Data=Partial
Line 68: Temp=28°C, Humidity=82%, Weather=Sunny, Battery=91%, Data=Partial
Line 69: Temp=30°C, Humidity=80%, Weather=Rainy, Battery=81%, Data=Completed
Line 70: Temp=27°C, Humidity=79%, Weather=Sunny, Battery=93%, Data=Pending
Line 71: Temp=31°C, Humidity=83%, Weather=Foggy, Battery=95%, Data=Completed
Line 72: Temp=30°C, Humidity=78%, Weather=Cloudy, Battery=88%, Data=Partial
Line 73: Temp=31°C, Humidity=79%, Weather=Windy, Battery=90%, Data=Partial
Line 74: Temp=29°C, Humidity=83%, Weather=Windy, Battery=100%, Data=Completed
Line 75: Temp=30°C, Humidity=80%, Weather=Foggy, Battery=83%, Data=Pending
Line 76: Temp=27°C, Humidity=80%, Weather=Foggy, Battery=87%, Data=Pending
Line 77: Temp=27°C, Humidity=84%, Weather=Windy, Battery=82%, Data=Pending
Line 78: Temp=28°C, Humidity=74%, Weather=Sunny, Battery=94%, Data=Pending
Line 79: Temp=29°C, Humidity=80%, Weather=Windy, Battery=86%, Data=Completed
Line 80: Temp=27°C, Humidity=81%, Weather=Cloudy, Battery=98%, Data=Pending
Line 81: Temp=29°C, Humidity=78%, Weather=Foggy, Battery=86%, Data=Partial
Line 82: Temp=27°C, Humidity=84%, Weather=Windy, Battery=86%, Data=Partial
Line 83: Temp=31°C, Humidity=76%, Weather=Windy, Battery=81%, Data=Partial
Line 84: Temp=31°C, Humidity=83%, Weather=Windy, Battery=90%, Data=Pending
Line 85: Temp=31°C, Humidity=76%, Weather=Foggy, Battery=97%, Data=Partial
Line 86: Temp=27°C, Humidity=80%, Weather=Rainy, Battery=87%, Data=Completed
Line 87: Temp=29°C, Humidity=79%, Weather=Windy, Battery=94%, Data=Partial
Line 88: Temp=28°C, Humidity=76%, Weather=Foggy, Battery=81%, Data=Completed
Line 89: Temp=31°C, Humidity=76%, Weather=Foggy, Battery=97%, Data=Pending
Line 90: Temp=27°C, Humidity=76%, Weather=Foggy, Battery=99%, Data=Completed
Line 91: Temp=29°C, Humidity=77%, Weather=Windy, Battery=87%, Data=Partial
Line 92: Temp=31°C, Humidity=79%, Weather=Rainy, Battery=87%, Data=Partial
Line 93: Temp=29°C, Humidity=80%, Weather=Sunny, Battery=97%, Data=Completed
