Parameter,Value
Param_1,768
Param_2,289
Param_3,389
Param_4,927
Param_5,899
Param_6,885
Param_7,845
Param_8,925
Param_9,119
Param_10,371
Param_11,736
Param_12,523
Param_13,615
Param_14,800
Param_15,227
Param_16,849
Param_17,799
Param_18,288
Param_19,319
Param_20,620
Param_21,133
Param_22,475
Param_23,715
Param_24,488
Param_25,759
Param_26,39
Param_27,911
Param_28,215
Param_29,302
Param_30,635
Param_31,159
Param_32,962
Param_33,264
Param_34,770
Param_35,853
Param_36,325
Param_37,842
Param_38,730
Param_39,483
Param_40,408
Param_41,476
Param_42,743
Param_43,727
Param_44,666
Param_45,100
Param_46,427
Param_47,28
Param_48,449
Param_49,628
Param_50,855
Param_51,507
Param_52,655
Param_53,107
Param_54,777
Param_55,975
Param_56,752
Param_57,595
Param_58,220
Param_59,619
Param_60,309
Param_61,186
Param_62,265
Param_63,398
Param_64,953
Param_65,902
Param_66,127
Param_67,156
Param_68,815
Param_69,78
Param_70,756
Param_71,54
Param_72,295
Param_73,974
Param_74,752
Param_75,940
Param_76,731
Param_77,546
Param_78,891
Param_79,96
Param_80,144
Param_81,351
Param_82,470
Param_83,825
Param_84,563
Param_85,229
Param_86,194
Param_87,475
Param_88,445
Param_89,681
Param_90,543
Param_91,614
Param_92,93
Param_93,877
Param_94,339
Param_95,266
Param_96,594
Param_97,544
Param_98,856
Param_99,533
Param_100,711
