Parameter,Value
Param_1,843
Param_2,54
Param_3,201
Param_4,751
Param_5,240
Param_6,24
Param_7,752
Param_8,14
Param_9,395
Param_10,838
Param_11,894
Param_12,893
Param_13,722
Param_14,266
Param_15,235
Param_16,756
Param_17,873
Param_18,526
Param_19,840
Param_20,954
Param_21,636
Param_22,44
Param_23,844
Param_24,931
Param_25,307
Param_26,345
Param_27,996
Param_28,962
Param_29,796
Param_30,373
Param_31,82
Param_32,407
Param_33,111
Param_34,253
Param_35,720
Param_36,670
Param_37,757
Param_38,191
Param_39,466
Param_40,460
Param_41,951
Param_42,212
Param_43,840
Param_44,674
Param_45,160
Param_46,629
Param_47,661
Param_48,576
Param_49,65
Param_50,627
Param_51,494
Param_52,951
Param_53,674
Param_54,734
Param_55,513
Param_56,586
Param_57,807
Param_58,16
Param_59,269
Param_60,806
Param_61,516
Param_62,791
Param_63,500
Param_64,500
Param_65,727
Param_66,807
Param_67,441
Param_68,630
Param_69,756
Param_70,942
Param_71,489
Param_72,295
Param_73,593
Param_74,445
Param_75,320
Param_76,7
Param_77,732
Param_78,45
Param_79,217
Param_80,17
Param_81,684
Param_82,972
Param_83,241
Param_84,198
Param_85,190
Param_86,805
Param_87,0
Param_88,827
Param_89,907
Param_90,290
Param_91,617
Param_92,695
Param_93,443
Param_94,474
Param_95,172
Param_96,271
Param_97,805
Param_98,232
Param_99,320
Param_100,48
