Site: Metz
Date: 2025-10-15
Coordinates: 87.07381, 33.374408
Line 1: Temp=31°C, Humidity=78%, Weather=Cloudy, Battery=81%, Data=Pending
Line 2: Temp=28°C, Humidity=75%, Weather=Cloudy, Battery=86%, Data=Completed
Line 3: Temp=30°C, Humidity=77%, Weather=Rainy, Battery=98%, Data=Completed
Line 4: Temp=31°C, Humidity=69%, Weather=Foggy, Battery=85%, Data=Completed
Line 5: Temp=29°C, Humidity=77%, Weather=Foggy, Battery=93%, Data=Completed
Line 6: Temp=29°C, Humidity=78%, Weather=Rainy, Battery=88%, Data=Completed
Line 7: Temp=29°C, Humidity=76%, Weather=Sunny, Battery=97%, Data=Pending
Line 8: Temp=27°C, Humidity=69%, Weather=Foggy, Battery=94%, Data=Completed
Line 9: Temp=30°C, Humidity=73%, Weather=Foggy, Battery=97%, Data=Pending
Line 10: Temp=29°C, Humidity=76%, Weather=Foggy, Battery=89%, Data=Pending
Line 11: Temp=28°C, Humidity=78%, Weather=Cloudy, Battery=88%, Data=Completed
Line 12: Temp=29°C, Humidity=74%, Weather=Sunny, Battery=99%, Data=Pending
Line 13: Temp=29°C, Humidity=73%, Weather=Sunny, Battery=91%, Data=Completed
Line 14: Temp=27°C, Humidity=76%, Weather=Rainy, Battery=85%, Data=Pending
Line 15: Temp=28°C, Humidity=78%, Weather=Cloudy, Battery=91%, Data=Partial
Line 16: Temp=29°C, Humidity=71%, Weather=Foggy, Battery=99%, Data=Completed
Line 17: Temp=31°C, Humidity=70%, Weather=Rainy, Battery=94%, Data=Partial
Line 18: Temp=31°C, Humidity=78%, Weather=Windy, Battery=91%, Data=Partial
Line 19: Temp=28°C, Humidity=70%, Weather=Windy, Battery=95%, Data=Pending
Line 20: Temp=29°C, Humidity=76%, Weather=Windy, Battery=81%, Data=Pending
Line 21: Temp=27°C, Humidity=78%, Weather=Rainy, Battery=99%, Data=Partial
Line 22: Temp=31°C, Humidity=78%, Weather=Windy, Battery=80%, Data=Partial
Line 23: Temp=28°C, Humidity=77%, Weather=Cloudy, Battery=82%, Data=Partial
Line 24: Temp=30°C, Humidity=77%, Weather=Windy, Battery=89%, Data=Completed
Line 25: Temp=28°C, Humidity=70%, Weather=Rainy, Battery=95%, Data=Completed
Line 26: Temp=29°C, Humidity=76%, Weather=Foggy, Battery=86%, Data=Completed
Line 27: Temp=27°C, Humidity=79%, Weather=Cloudy, Battery=99%, Data=Pending
Line 28: Temp=29°C, Humidity=72%, Weather=Rainy, Battery=80%, Data=Pending
Line 29: Temp=29°C, Humidity=73%, Weather=Windy, Battery=82%, Data=Pending
Line 30: Temp=30°C, Humidity=69%, Weather=Windy, Battery=94%, Data=Pending
Line 31: Temp=28°C, Humidity=73%, Weather=Rainy, Battery=83%, Data=Pending
Line 32: Temp=31°C, Humidity=75%, Weather=Rainy, Battery=95%, Data=Completed
Line 33: Temp=28°C, Humidity=76%, Weather=Rainy, Battery=81%, Data=Partial
Line 34: Temp=30°C, Humidity=73%, Weather=Windy, Battery=86%, Data=Partial
Line 35: Temp=27°C, Humidity=76%, Weather=Rainy, Battery=83%, Data=Partial
Line 36: Temp=27°C, Humidity=79%, Weather=Windy, Battery=82%, Data=Partial
Line 37: Temp=30°C, Humidity=78%, Weather=Foggy, Battery=100%, Data=Pending
Line 38: Temp=27°C, Humidity=79%, Weather=Foggy, Battery=86%, Data=Partial
Line 39: Temp=28°C, Humidity=78%, Weather=Cloudy, Battery=82%, Data=Pending
Line 40: Temp=27°C, Humidity=71%, Weather=Cloudy, Battery=80%, Data=Completed
Line 41: Temp=27°C, Humidity=71%, Weather=Rainy, Battery=88%, Data=Partial
Line 42: Temp=27°C, Humidity=76%, Weather=Windy, Battery=95%, Data=Partial
Line 43: Temp=28°C, Humidity=79%, Weather=Cloudy, Battery=89%, Data=Partial
Line 44: Temp=27°C, Humidity=78%, Weather=Cloudy, Battery=84%, Data=Partial
Line 45: Temp=29°C, Humidity=72%, Weather=Foggy, Battery=98%, Data=Pending
Line 46: Temp=31°C, Humidity=76%, Weather=Cloudy, Battery=87%, Data=Partial
Line 47: Temp=27°C, Humidity=71%, Weather=Cloudy, Battery=81%, Data=Completed
Line 48: Temp=27°C, Humidity=71%, Weather=Rainy, Battery=97%, Data=Partial
Line 49: Temp=31°C, Humidity=70%, Weather=Rainy, Battery=96%, Data=Completed
Line 50: Temp=29°C, Humidity=78%, Weather=Rainy, Battery=87%, Data=Completed
Line 51: Temp=29°C, Humidity=77%, Weather=Cloudy, Battery=97%, Data=Pending
Line 52: Temp=29°C, Humidity=70%, Weather=Cloudy, Battery=98%, Data=Completed
Line 53: Temp=31°C, Humidity=73%, Weather=Sunny, Battery=88%, Data=Completed
Line 54: Temp=28°C, Humidity=73%, Weather=Sunny, Battery=81%, Data=Partial
Line 55: Temp=30°C, Humidity=71%, Weather=Rainy, Battery=81%, Data=Partial
