Parameter,Value
Param_1,208
Param_2,110
Param_3,34
Param_4,208
Param_5,962
Param_6,174
Param_7,886
Param_8,668
Param_9,758
Param_10,126
Param_11,682
Param_12,346
Param_13,392
Param_14,45
Param_15,73
Param_16,405
Param_17,600
Param_18,506
Param_19,714
Param_20,671
Param_21,35
Param_22,859
Param_23,894
Param_24,897
Param_25,231
Param_26,237
Param_27,193
Param_28,897
Param_29,202
Param_30,992
Param_31,148
Param_32,828
Param_33,189
Param_34,958
Param_35,565
Param_36,134
Param_37,483
Param_38,716
Param_39,844
Param_40,726
Param_41,382
Param_42,284
Param_43,574
Param_44,137
Param_45,5
Param_46,166
Param_47,675
Param_48,331
Param_49,248
Param_50,398
Param_51,394
Param_52,976
Param_53,27
Param_54,974
Param_55,133
Param_56,318
Param_57,203
Param_58,647
Param_59,676
Param_60,766
Param_61,732
Param_62,461
Param_63,97
Param_64,93
Param_65,95
Param_66,333
Param_67,4
Param_68,518
Param_69,780
Param_70,56
Param_71,886
Param_72,116
Param_73,911
Param_74,267
Param_75,592
Param_76,349
Param_77,365
Param_78,515
Param_79,451
Param_80,303
Param_81,509
Param_82,795
Param_83,220
Param_84,713
Param_85,263
Param_86,181
Param_87,784
Param_88,266
Param_89,126
Param_90,649
Param_91,340
Param_92,854
Param_93,782
Param_94,677
Param_95,49
Param_96,677
Param_97,975
Param_98,364
Param_99,754
Param_100,975
