Parameter,Value
Param_1,584
Param_2,512
Param_3,504
Param_4,954
Param_5,223
Param_6,722
Param_7,749
Param_8,815
Param_9,15
Param_10,608
Param_11,926
Param_12,25
Param_13,700
Param_14,571
Param_15,493
Param_16,76
Param_17,255
Param_18,683
Param_19,765
Param_20,767
Param_21,892
Param_22,817
Param_23,887
Param_24,777
Param_25,223
Param_26,98
Param_27,313
Param_28,241
Param_29,492
Param_30,788
Param_31,782
Param_32,753
Param_33,899
Param_34,377
Param_35,738
Param_36,670
Param_37,623
Param_38,430
Param_39,343
Param_40,871
Param_41,726
Param_42,493
Param_43,701
Param_44,140
Param_45,947
Param_46,685
Param_47,727
Param_48,490
Param_49,127
Param_50,427
Param_51,277
Param_52,281
Param_53,855
Param_54,157
Param_55,555
Param_56,59
Param_57,379
Param_58,305
Param_59,981
Param_60,224
Param_61,40
Param_62,166
Param_63,801
Param_64,534
Param_65,213
Param_66,672
Param_67,348
Param_68,303
Param_69,313
Param_70,86
Param_71,734
Param_72,589
Param_73,707
Param_74,994
Param_75,410
Param_76,176
Param_77,17
Param_78,122
Param_79,924
Param_80,511
Param_81,453
Param_82,939
Param_83,693
Param_84,282
Param_85,215
Param_86,983
Param_87,706
Param_88,154
Param_89,325
Param_90,7
Param_91,293
Param_92,383
Param_93,32
Param_94,479
Param_95,854
Param_96,62
Param_97,751
Param_98,656
Param_99,396
Param_100,771
