Parameter,Value
Param_1,76
Param_2,284
Param_3,801
Param_4,360
Param_5,378
Param_6,749
Param_7,709
Param_8,783
Param_9,612
Param_10,410
Param_11,271
Param_12,727
Param_13,135
Param_14,990
Param_15,606
Param_16,27
Param_17,760
Param_18,217
Param_19,52
Param_20,992
Param_21,822
Param_22,199
Param_23,672
Param_24,156
Param_25,168
Param_26,463
Param_27,601
Param_28,100
Param_29,366
Param_30,553
Param_31,66
Param_32,204
Param_33,903
Param_34,652
Param_35,474
Param_36,643
Param_37,420
Param_38,116
Param_39,680
Param_40,497
Param_41,548
Param_42,689
Param_43,960
Param_44,890
Param_45,660
Param_46,190
Param_47,826
Param_48,688
Param_49,267
Param_50,220
Param_51,927
Param_52,18
Param_53,243
Param_54,506
Param_55,185
Param_56,639
Param_57,784
Param_58,613
Param_59,676
Param_60,218
Param_61,385
Param_62,669
Param_63,431
Param_64,96
Param_65,556
Param_66,946
Param_67,488
Param_68,897
Param_69,297
Param_70,166
Param_71,944
Param_72,627
Param_73,605
Param_74,703
Param_75,659
Param_76,518
Param_77,918
Param_78,471
Param_79,58
Param_80,177
Param_81,298
Param_82,879
Param_83,98
Param_84,350
Param_85,617
Param_86,824
Param_87,993
Param_88,168
Param_89,269
Param_90,171
Param_91,166
Param_92,935
Param_93,594
Param_94,415
Param_95,398
Param_96,577
Param_97,805
Param_98,562
Param_99,733
Param_100,971
