Parameter,Value
Param_1,764
Param_2,401
Param_3,814
Param_4,39
Param_5,419
Param_6,19
Param_7,196
Param_8,380
Param_9,659
Param_10,19
Param_11,399
Param_12,379
Param_13,188
Param_14,491
Param_15,789
Param_16,464
Param_17,406
Param_18,30
Param_19,634
Param_20,333
Param_21,616
Param_22,174
Param_23,799
Param_24,249
Param_25,256
Param_26,592
Param_27,84
Param_28,419
Param_29,173
Param_30,237
Param_31,667
Param_32,183
Param_33,702
Param_34,411
Param_35,499
Param_36,137
Param_37,762
Param_38,477
Param_39,216
Param_40,922
Param_41,45
Param_42,431
Param_43,104
Param_44,931
Param_45,964
Param_46,104
Param_47,806
Param_48,85
Param_49,943
Param_50,88
Param_51,428
Param_52,121
Param_53,902
Param_54,66
Param_55,810
Param_56,120
Param_57,471
Param_58,987
Param_59,534
Param_60,745
Param_61,31
Param_62,85
Param_63,368
Param_64,622
Param_65,587
Param_66,265
Param_67,161
Param_68,118
Param_69,198
Param_70,577
Param_71,963
Param_72,825
Param_73,122
Param_74,829
Param_75,363
Param_76,666
Param_77,158
Param_78,431
Param_79,190
Param_80,430
Param_81,826
Param_82,523
Param_83,145
Param_84,89
Param_85,671
Param_86,73
Param_87,392
Param_88,532
Param_89,549
Param_90,995
Param_91,905
Param_92,731
Param_93,170
Param_94,467
Param_95,416
Param_96,160
Param_97,113
Param_98,306
Param_99,500
Param_100,164
