Parameter,Value
Param_1,443
Param_2,719
Param_3,14
Param_4,919
Param_5,439
Param_6,413
Param_7,764
Param_8,946
Param_9,301
Param_10,99
Param_11,786
Param_12,618
Param_13,897
Param_14,733
Param_15,311
Param_16,595
Param_17,206
Param_18,300
Param_19,581
Param_20,924
Param_21,553
Param_22,808
Param_23,15
Param_24,457
Param_25,929
Param_26,301
Param_27,376
Param_28,709
Param_29,323
Param_30,462
Param_31,671
Param_32,758
Param_33,897
Param_34,160
Param_35,198
Param_36,548
Param_37,310
Param_38,69
Param_39,213
Param_40,697
Param_41,942
Param_42,105
Param_43,721
Param_44,440
Param_45,52
Param_46,141
Param_47,121
Param_48,236
Param_49,648
Param_50,689
Param_51,679
Param_52,950
Param_53,13
Param_54,88
Param_55,444
Param_56,830
Param_57,859
Param_58,89
Param_59,469
Param_60,265
Param_61,397
Param_62,463
Param_63,69
Param_64,986
Param_65,137
Param_66,312
Param_67,66
Param_68,977
Param_69,745
Param_70,996
Param_71,553
Param_72,925
Param_73,752
Param_74,266
Param_75,934
Param_76,543
Param_77,365
Param_78,550
Param_79,794
Param_80,827
Param_81,372
Param_82,715
Param_83,33
Param_84,526
Param_85,100
Param_86,447
Param_87,149
Param_88,72
Param_89,958
Param_90,351
Param_91,107
Param_92,392
Param_93,542
Param_94,280
Param_95,706
Param_96,354
Param_97,729
Param_98,770
Param_99,972
Param_100,450
