Parameter,Value
Param_1,625
Param_2,606
Param_3,513
Param_4,110
Param_5,315
Param_6,975
Param_7,408
Param_8,687
Param_9,406
Param_10,858
Param_11,894
Param_12,788
Param_13,482
Param_14,887
Param_15,343
Param_16,107
Param_17,717
Param_18,28
Param_19,67
Param_20,450
Param_21,801
Param_22,682
Param_23,111
Param_24,495
Param_25,250
Param_26,446
Param_27,817
Param_28,40
Param_29,317
Param_30,165
Param_31,736
Param_32,918
Param_33,913
Param_34,993
Param_35,807
Param_36,463
Param_37,970
Param_38,859
Param_39,753
Param_40,986
Param_41,888
Param_42,156
Param_43,321
Param_44,949
Param_45,209
Param_46,950
Param_47,865
Param_48,897
Param_49,70
Param_50,83
Param_51,728
Param_52,757
Param_53,160
Param_54,680
Param_55,922
Param_56,887
Param_57,153
Param_58,34
Param_59,804
Param_60,875
Param_61,611
Param_62,617
Param_63,189
Param_64,350
Param_65,707
Param_66,13
Param_67,737
Param_68,847
Param_69,370
Param_70,515
Param_71,481
Param_72,312
Param_73,195
Param_74,563
Param_75,585
Param_76,45
Param_77,6
Param_78,892
Param_79,211
Param_80,102
Param_81,383
Param_82,167
Param_83,10
Param_84,64
Param_85,443
Param_86,624
Param_87,612
Param_88,940
Param_89,835
Param_90,215
Param_91,524
Param_92,627
Param_93,27
Param_94,414
Param_95,385
Param_96,146
Param_97,508
Param_98,205
Param_99,61
Param_100,19
