Parameter,Value
Param_1,877
Param_2,161
Param_3,828
Param_4,467
Param_5,465
Param_6,585
Param_7,656
Param_8,511
Param_9,684
Param_10,390
Param_11,243
Param_12,172
Param_13,741
Param_14,785
Param_15,284
Param_16,591
Param_17,542
Param_18,880
Param_19,624
Param_20,400
Param_21,507
Param_22,202
Param_23,10
Param_24,636
Param_25,339
Param_26,793
Param_27,372
Param_28,5
Param_29,834
Param_30,661
Param_31,312
Param_32,319
Param_33,154
Param_34,610
Param_35,781
Param_36,46
Param_37,914
Param_38,112
Param_39,977
Param_40,963
Param_41,141
Param_42,260
Param_43,958
Param_44,958
Param_45,138
Param_46,671
Param_47,905
Param_48,863
Param_49,653
Param_50,271
Param_51,821
Param_52,226
Param_53,563
Param_54,530
Param_55,162
Param_56,878
Param_57,647
Param_58,933
Param_59,685
Param_60,580
Param_61,519
Param_62,811
Param_63,205
Param_64,496
Param_65,440
Param_66,278
Param_67,87
Param_68,849
Param_69,804
Param_70,753
Param_71,463
Param_72,400
Param_73,927
Param_74,415
Param_75,2
Param_76,811
Param_77,394
Param_78,848
Param_79,811
Param_80,687
Param_81,918
Param_82,983
Param_83,880
Param_84,602
Param_85,836
Param_86,801
Param_87,558
Param_88,4
Param_89,320
Param_90,365
Param_91,590
Param_92,226
Param_93,626
Param_94,46
Param_95,90
Param_96,222
Param_97,699
Param_98,212
Param_99,497
Param_100,530
