Parameter,Value
Param_1,187
Param_2,73
Param_3,520
Param_4,605
Param_5,148
Param_6,113
Param_7,65
Param_8,961
Param_9,285
Param_10,313
Param_11,616
Param_12,664
Param_13,57
Param_14,633
Param_15,357
Param_16,789
Param_17,95
Param_18,175
Param_19,944
Param_20,271
Param_21,847
Param_22,203
Param_23,371
Param_24,543
Param_25,64
Param_26,808
Param_27,574
Param_28,220
Param_29,287
Param_30,830
Param_31,773
Param_32,464
Param_33,507
Param_34,906
Param_35,291
Param_36,499
Param_37,558
Param_38,758
Param_39,817
Param_40,920
Param_41,37
Param_42,861
Param_43,667
Param_44,309
Param_45,567
Param_46,68
Param_47,858
Param_48,657
Param_49,544
Param_50,987
Param_51,563
Param_52,864
Param_53,342
Param_54,658
Param_55,565
Param_56,867
Param_57,854
Param_58,74
Param_59,160
Param_60,565
Param_61,19
Param_62,802
Param_63,103
Param_64,669
Param_65,843
Param_66,711
Param_67,459
Param_68,270
Param_69,780
Param_70,411
Param_71,61
Param_72,244
Param_73,507
Param_74,268
Param_75,702
Param_76,253
Param_77,404
Param_78,102
Param_79,83
Param_80,441
Param_81,66
Param_82,613
Param_83,93
Param_84,262
Param_85,664
Param_86,321
Param_87,306
Param_88,113
Param_89,172
Param_90,270
Param_91,854
Param_92,622
Param_93,973
Param_94,267
Param_95,521
Param_96,234
Param_97,44
Param_98,226
Param_99,285
Param_100,723
