Site: Nagpur
Date: 2025-10-04
Coordinates: -69.939422, -72.142874
Line 1: Temp=28°C, Humidity=78%, Weather=Cloudy, Battery=98%, Data=Completed
Line 2: Temp=26°C, Humidity=77%, Weather=Windy, Battery=94%, Data=Completed
Line 3: Temp=26°C, Humidity=72%, Weather=Sunny, Battery=95%, Data=Pending
Line 4: Temp=29°C, Humidity=76%, Weather=Foggy, Battery=94%, Data=Partial
Line 5: Temp=27°C, Humidity=68%, Weather=Cloudy, Battery=100%, Data=Pending
Line 6: Temp=27°C, Humidity=77%, Weather=Rainy, Battery=80%, Data=Completed
Line 7: Temp=28°C, Humidity=77%, Weather=Sunny, Battery=82%, Data=Partial
Line 8: Temp=30°C, Humidity=75%, Weather=Sunny, Battery=99%, Data=Pending
Line 9: Temp=28°C, Humidity=74%, Weather=Rainy, Battery=92%, Data=Pending
Line 10: Temp=28°C, Humidity=74%, Weather=Windy, Battery=100%, Data=Completed
Line 11: Temp=28°C, Humidity=76%, Weather=Rainy, Battery=100%, Data=Completed
Line 12: Temp=26°C, Humidity=78%, Weather=Cloudy, Battery=86%, Data=Partial
Line 13: Temp=30°C, Humidity=70%, Weather=Foggy, Battery=84%, Data=Pending
Line 14: Temp=26°C, Humidity=78%, Weather=Sunny, Battery=97%, Data=Partial
Line 15: Temp=28°C, Humidity=70%, Weather=Foggy, Battery=99%, Data=Partial
Line 16: Temp=26°C, Humidity=72%, Weather=Foggy, Battery=81%, Data=Completed
Line 17: Temp=30°C, Humidity=71%, Weather=Foggy, Battery=91%, Data=Pending
Line 18: Temp=27°C, Humidity=73%, Weather=Foggy, Battery=87%, Data=Pending
Line 19: Temp=29°C, Humidity=76%, Weather=Windy, Battery=87%, Data=Partial
Line 20: Temp=27°C, Humidity=71%, Weather=Sunny, Battery=86%, Data=Partial
Line 21: Temp=30°C, Humidity=71%, Weather=Rainy, Battery=97%, Data=Partial
Line 22: Temp=26°C, Humidity=70%, Weather=Cloudy, Battery=81%, Data=Completed
Line 23: Temp=27°C, Humidity=77%, Weather=Rainy, Battery=93%, Data=Partial
Line 24: Temp=28°C, Humidity=77%, Weather=Rainy, Battery=91%, Data=Pending
Line 25: Temp=28°C, Humidity=76%, Weather=Windy, Battery=84%, Data=Pending
Line 26: Temp=30°C, Humidity=77%, Weather=Sunny, Battery=90%, Data=Partial
Line 27: Temp=30°C, Humidity=74%, Weather=Foggy, Battery=90%, Data=Pending
