Parameter,Value
Param_1,997
Param_2,576
Param_3,862
Param_4,611
Param_5,633
Param_6,614
Param_7,69
Param_8,259
Param_9,795
Param_10,600
Param_11,797
Param_12,729
Param_13,279
Param_14,737
Param_15,795
Param_16,107
Param_17,698
Param_18,715
Param_19,962
Param_20,292
Param_21,242
Param_22,252
Param_23,267
Param_24,222
Param_25,597
Param_26,890
Param_27,700
Param_28,305
Param_29,586
Param_30,991
Param_31,260
Param_32,958
Param_33,529
Param_34,394
Param_35,61
Param_36,812
Param_37,970
Param_38,739
Param_39,159
Param_40,991
Param_41,764
Param_42,276
Param_43,49
Param_44,169
Param_45,501
Param_46,432
Param_47,960
Param_48,653
Param_49,16
Param_50,786
Param_51,219
Param_52,484
Param_53,176
Param_54,376
Param_55,397
Param_56,113
Param_57,915
Param_58,29
Param_59,590
Param_60,56
Param_61,761
Param_62,917
Param_63,272
Param_64,759
Param_65,456
Param_66,128
Param_67,122
Param_68,65
Param_69,295
Param_70,695
Param_71,783
Param_72,863
Param_73,918
Param_74,355
Param_75,209
Param_76,546
Param_77,265
Param_78,735
Param_79,849
Param_80,51
Param_81,164
Param_82,739
Param_83,943
Param_84,700
Param_85,84
Param_86,373
Param_87,749
Param_88,894
Param_89,398
Param_90,226
Param_91,360
Param_92,34
Param_93,662
Param_94,221
Param_95,136
Param_96,734
Param_97,218
Param_98,6
Param_99,307
Param_100,744
