Parameter,Value
Param_1,507
Param_2,302
Param_3,957
Param_4,143
Param_5,758
Param_6,703
Param_7,177
Param_8,916
Param_9,786
Param_10,308
Param_11,158
Param_12,816
Param_13,313
Param_14,725
Param_15,264
Param_16,757
Param_17,284
Param_18,314
Param_19,437
Param_20,142
Param_21,204
Param_22,356
Param_23,633
Param_24,532
Param_25,574
Param_26,173
Param_27,0
Param_28,639
Param_29,701
Param_30,461
Param_31,27
Param_32,106
Param_33,987
Param_34,927
Param_35,850
Param_36,280
Param_37,901
Param_38,135
Param_39,542
Param_40,537
Param_41,494
Param_42,970
Param_43,297
Param_44,382
Param_45,158
Param_46,882
Param_47,137
Param_48,666
Param_49,205
Param_50,388
Param_51,519
Param_52,309
Param_53,225
Param_54,434
Param_55,410
Param_56,621
Param_57,269
Param_58,718
Param_59,187
Param_60,131
Param_61,258
Param_62,80
Param_63,265
Param_64,752
Param_65,685
Param_66,639
Param_67,115
Param_68,558
Param_69,617
Param_70,506
Param_71,193
Param_72,652
Param_73,658
Param_74,803
Param_75,813
Param_76,84
Param_77,941
Param_78,789
Param_79,126
Param_80,494
Param_81,292
Param_82,357
Param_83,479
Param_84,975
Param_85,201
Param_86,77
Param_87,143
Param_88,154
Param_89,415
Param_90,696
Param_91,515
Param_92,413
Param_93,10
Param_94,502
Param_95,587
Param_96,776
Param_97,447
Param_98,729
Param_99,511
Param_100,800
