Parameter,Value
Param_1,689
Param_2,582
Param_3,566
Param_4,21
Param_5,400
Param_6,979
Param_7,719
Param_8,348
Param_9,768
Param_10,476
Param_11,797
Param_12,920
Param_13,842
Param_14,715
Param_15,531
Param_16,245
Param_17,383
Param_18,96
Param_19,230
Param_20,281
Param_21,266
Param_22,288
Param_23,137
Param_24,4
Param_25,379
Param_26,464
Param_27,986
Param_28,831
Param_29,306
Param_30,655
Param_31,728
Param_32,728
Param_33,448
Param_34,458
Param_35,938
Param_36,848
Param_37,534
Param_38,257
Param_39,581
Param_40,151
Param_41,305
Param_42,186
Param_43,665
Param_44,485
Param_45,540
Param_46,927
Param_47,940
Param_48,564
Param_49,604
Param_50,965
Param_51,717
Param_52,552
Param_53,477
Param_54,73
Param_55,960
Param_56,819
Param_57,277
Param_58,957
Param_59,311
Param_60,872
Param_61,750
Param_62,299
Param_63,407
Param_64,548
Param_65,302
Param_66,389
Param_67,17
Param_68,796
Param_69,662
Param_70,629
Param_71,193
Param_72,765
Param_73,635
Param_74,964
Param_75,399
Param_76,436
Param_77,901
Param_78,649
Param_79,109
Param_80,735
Param_81,279
Param_82,260
Param_83,470
Param_84,325
Param_85,592
Param_86,987
Param_87,103
Param_88,310
Param_89,963
Param_90,715
Param_91,187
Param_92,160
Param_93,388
Param_94,894
Param_95,765
Param_96,581
Param_97,608
Param_98,269
Param_99,864
Param_100,435
