Parameter,Value
Param_1,214
Param_2,718
Param_3,142
Param_4,410
Param_5,841
Param_6,659
Param_7,977
Param_8,994
Param_9,546
Param_10,620
Param_11,228
Param_12,651
Param_13,441
Param_14,358
Param_15,360
Param_16,41
Param_17,772
Param_18,428
Param_19,941
Param_20,586
Param_21,977
Param_22,402
Param_23,198
Param_24,919
Param_25,837
Param_26,519
Param_27,296
Param_28,915
Param_29,742
Param_30,795
Param_31,611
Param_32,234
Param_33,900
Param_34,81
Param_35,855
Param_36,162
Param_37,114
Param_38,371
Param_39,458
Param_40,527
Param_41,2
Param_42,716
Param_43,187
Param_44,73
Param_45,708
Param_46,493
Param_47,83
Param_48,658
Param_49,571
Param_50,877
Param_51,806
Param_52,157
Param_53,537
Param_54,814
Param_55,898
Param_56,45
Param_57,778
Param_58,201
Param_59,888
Param_60,979
Param_61,770
Param_62,694
Param_63,795
Param_64,81
Param_65,436
Param_66,76
Param_67,807
Param_68,565
Param_69,504
Param_70,482
Param_71,396
Param_72,826
Param_73,116
Param_74,881
Param_75,271
Param_76,100
Param_77,735
Param_78,680
Param_79,128
Param_80,417
Param_81,725
Param_82,480
Param_83,698
Param_84,480
Param_85,718
Param_86,21
Param_87,102
Param_88,967
Param_89,823
Param_90,26
Param_91,843
Param_92,949
Param_93,524
Param_94,626
Param_95,99
Param_96,963
Param_97,773
Param_98,102
Param_99,527
Param_100,189
