Site: Nice
Date: 2025-10-12
Coordinates: 73.017426, -129.814874
Line 1: Temp=27°C, Humidity=75%, Weather=Windy, Battery=80%, Data=Pending
Line 2: Temp=26°C, Humidity=69%, Weather=Sunny, Battery=88%, Data=Pending
Line 3: Temp=26°C, Humidity=68%, Weather=Sunny, Battery=83%, Data=Pending
Line 4: Temp=28°C, Humidity=67%, Weather=Foggy, Battery=93%, Data=Partial
Line 5: Temp=27°C, Humidity=72%, Weather=Windy, Battery=94%, Data=Pending
Line 6: Temp=24°C, Humidity=71%, Weather=Sunny, Battery=85%, Data=Pending
Line 7: Temp=26°C, Humidity=74%, Weather=Windy, Battery=94%, Data=Pending
Line 8: Temp=24°C, Humidity=69%, Weather=Windy, Battery=89%, Data=Pending
Line 9: Temp=25°C, Humidity=75%, Weather=Cloudy, Battery=99%, Data=Completed
Line 10: Temp=28°C, Humidity=68%, Weather=Rainy, Battery=88%, Data=Partial
Line 11: Temp=25°C, Humidity=72%, Weather=Windy, Battery=99%, Data=Completed
Line 12: Temp=27°C, Humidity=70%, Weather=Rainy, Battery=99%, Data=Completed
Line 13: Temp=24°C, Humidity=71%, Weather=Windy, Battery=80%, Data=Completed
Line 14: Temp=24°C, Humidity=69%, Weather=Foggy, Battery=92%, Data=Completed
Line 15: Temp=26°C, Humidity=67%, Weather=Sunny, Battery=90%, Data=Pending
Line 16: Temp=25°C, Humidity=67%, Weather=Sunny, Battery=83%, Data=Completed
Line 17: Temp=28°C, Humidity=74%, Weather=Rainy, Battery=86%, Data=Completed
Line 18: Temp=26°C, Humidity=74%, Weather=Rainy, Battery=90%, Data=Partial
Line 19: Temp=24°C, Humidity=74%, Weather=Rainy, Battery=99%, Data=Partial
Line 20: Temp=28°C, Humidity=66%, Weather=Cloudy, Battery=93%, Data=Partial
Line 21: Temp=25°C, Humidity=68%, Weather=Cloudy, Battery=90%, Data=Partial
Line 22: Temp=24°C, Humidity=75%, Weather=Sunny, Battery=80%, Data=Completed
Line 23: Temp=28°C, Humidity=67%, Weather=Cloudy, Battery=94%, Data=Partial
Line 24: Temp=27°C, Humidity=74%, Weather=Rainy, Battery=87%, Data=Pending
Line 25: Temp=26°C, Humidity=76%, Weather=Foggy, Battery=96%, Data=Pending
Line 26: Temp=28°C, Humidity=75%, Weather=Windy, Battery=90%, Data=Completed
Line 27: Temp=27°C, Humidity=71%, Weather=Rainy, Battery=80%, Data=Partial
Line 28: Temp=28°C, Humidity=66%, Weather=Sunny, Battery=83%, Data=Partial
Line 29: Temp=28°C, Humidity=75%, Weather=Cloudy, Battery=84%, Data=Completed
Line 30: Temp=27°C, Humidity=72%, Weather=Sunny, Battery=86%, Data=Partial
Line 31: Temp=27°C, Humidity=75%, Weather=Sunny, Battery=86%, Data=Pending
Line 32: Temp=24°C, Humidity=69%, Weather=Sunny, Battery=80%, Data=Partial
Line 33: Temp=28°C, Humidity=70%, Weather=Sunny, Battery=82%, Data=Pending
Line 34: Temp=26°C, Humidity=67%, Weather=Rainy, Battery=91%, Data=Pending
Line 35: Temp=28°C, Humidity=68%, Weather=Foggy, Battery=82%, Data=Partial
Line 36: Temp=26°C, Humidity=68%, Weather=Cloudy, Battery=86%, Data=Pending
Line 37: Temp=28°C, Humidity=73%, Weather=Cloudy, Battery=93%, Data=Partial
Line 38: Temp=26°C, Humidity=69%, Weather=Windy, Battery=88%, Data=Partial
Line 39: Temp=27°C, Humidity=72%, Weather=Windy, Battery=83%, Data=Partial
Line 40: Temp=24°C, Humidity=68%, Weather=Rainy, Battery=89%, Data=Pending
Line 41: Temp=25°C, Humidity=74%, Weather=Sunny, Battery=95%, Data=Completed
Line 42: Temp=27°C, Humidity=71%, Weather=Rainy, Battery=89%, Data=Partial
Line 43: Temp=24°C, Humidity=70%, Weather=Windy, Battery=84%, Data=Partial
Line 44: Temp=26°C, Humidity=72%, Weather=Rainy, Battery=90%, Data=Partial
