Parameter,Value
Param_1,983
Param_2,460
Param_3,370
Param_4,66
Param_5,854
Param_6,144
Param_7,13
Param_8,710
Param_9,38
Param_10,134
Param_11,820
Param_12,363
Param_13,723
Param_14,713
Param_15,154
Param_16,688
Param_17,504
Param_18,250
Param_19,869
Param_20,196
Param_21,672
Param_22,184
Param_23,71
Param_24,262
Param_25,84
Param_26,216
Param_27,455
Param_28,530
Param_29,787
Param_30,579
Param_31,678
Param_32,630
Param_33,620
Param_34,160
Param_35,658
Param_36,167
Param_37,254
Param_38,717
Param_39,712
Param_40,825
Param_41,396
Param_42,872
Param_43,816
Param_44,392
Param_45,807
Param_46,732
Param_47,919
Param_48,585
Param_49,12
Param_50,572
Param_51,652
Param_52,241
Param_53,404
Param_54,785
Param_55,980
Param_56,906
Param_57,782
Param_58,10
Param_59,992
Param_60,447
Param_61,566
Param_62,556
Param_63,86
Param_64,772
Param_65,841
Param_66,692
Param_67,588
Param_68,671
Param_69,922
Param_70,927
Param_71,696
Param_72,556
Param_73,163
Param_74,660
Param_75,28
Param_76,622
Param_77,775
Param_78,536
Param_79,351
Param_80,639
Param_81,751
Param_82,829
Param_83,21
Param_84,605
Param_85,938
Param_86,482
Param_87,928
Param_88,353
Param_89,428
Param_90,611
Param_91,830
Param_92,696
Param_93,178
Param_94,319
Param_95,288
Param_96,102
Param_97,757
Param_98,243
Param_99,168
Param_100,207
