Parameter,Value
Param_1,314
Param_2,736
Param_3,824
Param_4,317
Param_5,908
Param_6,394
Param_7,845
Param_8,927
Param_9,873
Param_10,819
Param_11,635
Param_12,655
Param_13,805
Param_14,819
Param_15,180
Param_16,653
Param_17,30
Param_18,43
Param_19,910
Param_20,372
Param_21,772
Param_22,94
Param_23,248
Param_24,527
Param_25,902
Param_26,298
Param_27,605
Param_28,679
Param_29,755
Param_30,567
Param_31,341
Param_32,575
Param_33,600
Param_34,931
Param_35,603
Param_36,972
Param_37,707
Param_38,200
Param_39,41
Param_40,192
Param_41,461
Param_42,90
Param_43,207
Param_44,490
Param_45,339
Param_46,470
Param_47,239
Param_48,105
Param_49,94
Param_50,533
Param_51,226
Param_52,690
Param_53,847
Param_54,179
Param_55,950
Param_56,321
Param_57,719
Param_58,312
Param_59,936
Param_60,108
Param_61,566
Param_62,97
Param_63,569
Param_64,116
Param_65,341
Param_66,974
Param_67,492
Param_68,610
Param_69,698
Param_70,95
Param_71,843
Param_72,292
Param_73,917
Param_74,373
Param_75,933
Param_76,138
Param_77,191
Param_78,860
Param_79,991
Param_80,377
Param_81,977
Param_82,501
Param_83,167
Param_84,604
Param_85,145
Param_86,362
Param_87,306
Param_88,418
Param_89,748
Param_90,457
Param_91,373
Param_92,768
Param_93,159
Param_94,50
Param_95,144
Param_96,17
Param_97,509
Param_98,580
Param_99,546
Param_100,146
