Parameter,Value
Param_1,666
Param_2,658
Param_3,346
Param_4,89
Param_5,16
Param_6,737
Param_7,568
Param_8,912
Param_9,90
Param_10,982
Param_11,71
Param_12,35
Param_13,978
Param_14,608
Param_15,26
Param_16,624
Param_17,287
Param_18,814
Param_19,655
Param_20,686
Param_21,942
Param_22,422
Param_23,823
Param_24,179
Param_25,427
Param_26,504
Param_27,653
Param_28,446
Param_29,50
Param_30,52
Param_31,946
Param_32,143
Param_33,776
Param_34,927
Param_35,666
Param_36,384
Param_37,630
Param_38,815
Param_39,304
Param_40,424
Param_41,836
Param_42,103
Param_43,405
Param_44,811
Param_45,971
Param_46,853
Param_47,723
Param_48,749
Param_49,115
Param_50,349
Param_51,249
Param_52,132
Param_53,299
Param_54,25
Param_55,790
Param_56,188
Param_57,314
Param_58,387
Param_59,678
Param_60,541
Param_61,193
Param_62,367
Param_63,943
Param_64,364
Param_65,553
Param_66,443
Param_67,87
Param_68,77
Param_69,405
Param_70,276
Param_71,152
Param_72,285
Param_73,997
Param_74,216
Param_75,501
Param_76,865
Param_77,718
Param_78,636
Param_79,507
Param_80,153
Param_81,414
Param_82,242
Param_83,966
Param_84,274
Param_85,635
Param_86,378
Param_87,734
Param_88,377
Param_89,718
Param_90,350
Param_91,141
Param_92,17
Param_93,988
Param_94,290
Param_95,949
Param_96,865
Param_97,206
Param_98,990
Param_99,25
Param_100,454
