Site: Oslo
Date: 2025-10-01
Coordinates: 18.494382, 116.118789
Line 1: Temp=27°C, Humidity=75%, Weather=Cloudy, Battery=81%, Data=Completed
Line 2: Temp=23°C, Humidity=75%, Weather=Rainy, Battery=90%, Data=Pending
Line 3: Temp=25°C, Humidity=74%, Weather=Foggy, Battery=86%, Data=Pending
Line 4: Temp=27°C, Humidity=74%, Weather=Sunny, Battery=81%, Data=Pending
Line 5: Temp=25°C, Humidity=69%, Weather=Windy, Battery=87%, Data=Completed
Line 6: Temp=27°C, Humidity=70%, Weather=Cloudy, Battery=100%, Data=Completed
Line 7: Temp=24°C, Humidity=67%, Weather=Sunny, Battery=82%, Data=Partial
Line 8: Temp=26°C, Humidity=72%, Weather=Windy, Battery=93%, Data=Completed
Line 9: Temp=26°C, Humidity=65%, Weather=Foggy, Battery=88%, Data=Completed
Line 10: Temp=26°C, Humidity=66%, Weather=Cloudy, Battery=83%, Data=Partial
Line 11: Temp=26°C, Humidity=68%, Weather=Windy, Battery=100%, Data=Pending
Line 12: Temp=23°C, Humidity=72%, Weather=Rainy, Battery=88%, Data=Partial
Line 13: Temp=23°C, Humidity=67%, Weather=Cloudy, Battery=81%, Data=Completed
Line 14: Temp=25°C, Humidity=71%, Weather=Windy, Battery=96%, Data=Completed
Line 15: Temp=27°C, Humidity=69%, Weather=Cloudy, Battery=88%, Data=Completed
Line 16: Temp=25°C, Humidity=75%, Weather=Foggy, Battery=91%, Data=Pending
Line 17: Temp=23°C, Humidity=73%, Weather=Rainy, Battery=82%, Data=Partial
Line 18: Temp=24°C, Humidity=70%, Weather=Sunny, Battery=80%, Data=Completed
Line 19: Temp=27°C, Humidity=75%, Weather=Cloudy, Battery=80%, Data=Pending
Line 20: Temp=26°C, Humidity=68%, Weather=Sunny, Battery=82%, Data=Pending
Line 21: Temp=27°C, Humidity=66%, Weather=Windy, Battery=85%, Data=Pending
Line 22: Temp=27°C, Humidity=68%, Weather=Windy, Battery=93%, Data=Pending
Line 23: Temp=27°C, Humidity=72%, Weather=Rainy, Battery=99%, Data=Partial
Line 24: Temp=23°C, Humidity=70%, Weather=Windy, Battery=88%, Data=Pending
Line 25: Temp=25°C, Humidity=73%, Weather=Rainy, Battery=94%, Data=Pending
Line 26: Temp=24°C, Humidity=72%, Weather=Rainy, Battery=97%, Data=Completed
Line 27: Temp=25°C, Humidity=67%, Weather=Rainy, Battery=84%, Data=Partial
Line 28: Temp=27°C, Humidity=66%, Weather=Windy, Battery=90%, Data=Pending
Line 29: Temp=27°C, Humidity=72%, Weather=Cloudy, Battery=93%, Data=Completed
Line 30: Temp=25°C, Humidity=68%, Weather=Cloudy, Battery=97%, Data=Pending
Line 31: Temp=26°C, Humidity=65%, Weather=Cloudy, Battery=92%, Data=Completed
Line 32: Temp=24°C, Humidity=71%, Weather=Rainy, Battery=84%, Data=Completed
Line 33: Temp=26°C, Humidity=74%, Weather=Windy, Battery=99%, Data=Pending
Line 34: Temp=26°C, Humidity=66%, Weather=Cloudy, Battery=87%, Data=Partial
Line 35: Temp=26°C, Humidity=66%, Weather=Cloudy, Battery=98%, Data=Partial
Line 36: Temp=25°C, Humidity=70%, Weather=Foggy, Battery=92%, Data=Partial
Line 37: Temp=27°C, Humidity=65%, Weather=Rainy, Battery=84%, Data=Partial
Line 38: Temp=23°C, Humidity=68%, Weather=Sunny, Battery=98%, Data=Partial
Line 39: Temp=26°C, Humidity=68%, Weather=Rainy, Battery=98%, Data=Completed
Line 40: Temp=24°C, Humidity=67%, Weather=Windy, Battery=91%, Data=Partial
Line 41: Temp=23°C, Humidity=71%, Weather=Cloudy, Battery=98%, Data=Partial
Line 42: Temp=26°C, Humidity=70%, Weather=Foggy, Battery=89%, Data=Partial
Line 43: Temp=25°C, Humidity=71%, Weather=Foggy, Battery=88%, Data=Completed
Line 44: Temp=27°C, Humidity=69%, Weather=Sunny, Battery=90%, Data=Completed
Line 45: Temp=26°C, Humidity=67%, Weather=Cloudy, Battery=81%, Data=Completed
Line 46: Temp=27°C, Humidity=70%, Weather=Windy, Battery=90%, Data=Completed
Line 47: Temp=26°C, Humidity=73%, Weather=Cloudy, Battery=89%, Data=Pending
Line 48: Temp=27°C, Humidity=69%, Weather=Foggy, Battery=90%, Data=Partial
Line 49: Temp=23°C, Humidity=72%, Weather=Cloudy, Battery=95%, Data=Pending
Line 50: Temp=24°C, Humidity=72%, Weather=Foggy, Battery=92%, Data=Completed
Line 51: Temp=23°C, Humidity=75%, Weather=Cloudy, Battery=81%, Data=Pending
Line 52: Temp=24°C, Humidity=68%, Weather=Rainy, Battery=81%, Data=Pending
Line 53: Temp=27°C, Humidity=72%, Weather=Cloudy, Battery=97%, Data=Pending
Line 54: Temp=23°C, Humidity=71%, Weather=Rainy, Battery=84%, Data=Completed
Line 55: Temp=25°C, Humidity=68%, Weather=Sunny, Battery=93%, Data=Completed
Line 56: Temp=26°C, Humidity=75%, Weather=Sunny, Battery=92%, Data=Completed
Line 57: Temp=25°C, Humidity=72%, Weather=Windy, Battery=99%, Data=Completed
Line 58: Temp=27°C, Humidity=65%, Weather=Cloudy, Battery=87%, Data=Pending
Line 59: Temp=23°C, Humidity=66%, Weather=Sunny, Battery=96%, Data=Pending
Line 60: Temp=27°C, Humidity=65%, Weather=Windy, Battery=90%, Data=Partial
Line 61: Temp=24°C, Humidity=73%, Weather=Sunny, Battery=88%, Data=Partial
Line 62: Temp=27°C, Humidity=70%, Weather=Cloudy, Battery=97%, Data=Pending
Line 63: Temp=26°C, Humidity=66%, Weather=Foggy, Battery=93%, Data=Pending
Line 64: Temp=25°C, Humidity=69%, Weather=Foggy, Battery=86%, Data=Pending
Line 65: Temp=23°C, Humidity=75%, Weather=Rainy, Battery=91%, Data=Partial
Line 66: Temp=27°C, Humidity=67%, Weather=Rainy, Battery=88%, Data=Partial
Line 67: Temp=27°C, Humidity=71%, Weather=Sunny, Battery=82%, Data=Partial
Line 68: Temp=27°C, Humidity=73%, Weather=Sunny, Battery=86%, Data=Pending
Line 69: Temp=26°C, Humidity=69%, Weather=Cloudy, Battery=98%, Data=Completed
Line 70: Temp=24°C, Humidity=71%, Weather=Sunny, Battery=87%, Data=Completed
Line 71: Temp=27°C, Humidity=69%, Weather=Cloudy, Battery=85%, Data=Completed
Line 72: Temp=23°C, Humidity=69%, Weather=Sunny, Battery=97%, Data=Partial
Line 73: Temp=26°C, Humidity=67%, Weather=Windy, Battery=87%, Data=Completed
Line 74: Temp=26°C, Humidity=74%, Weather=Cloudy, Battery=86%, Data=Pending
Line 75: Temp=27°C, Humidity=74%, Weather=Foggy, Battery=85%, Data=Partial
Line 76: Temp=26°C, Humidity=72%, Weather=Cloudy, Battery=83%, Data=Partial
Line 77: Temp=25°C, Humidity=75%, Weather=Rainy, Battery=99%, Data=Partial
Line 78: Temp=26°C, Humidity=72%, Weather=Cloudy, Battery=97%, Data=Partial
Line 79: Temp=27°C, Humidity=67%, Weather=Windy, Battery=92%, Data=Partial
Line 80: Temp=27°C, Humidity=70%, Weather=Sunny, Battery=97%, Data=Completed
Line 81: Temp=23°C, Humidity=69%, Weather=Foggy, Battery=81%, Data=Partial
Line 82: Temp=24°C, Humidity=65%, Weather=Cloudy, Battery=100%, Data=Partial
Line 83: Temp=24°C, Humidity=75%, Weather=Sunny, Battery=99%, Data=Partial
Line 84: Temp=25°C, Humidity=68%, Weather=Rainy, Battery=80%, Data=Completed
Line 85: Temp=25°C, Humidity=70%, Weather=Cloudy, Battery=92%, Data=Partial
Line 86: Temp=27°C, Humidity=75%, Weather=Windy, Battery=81%, Data=Partial
Line 87: Temp=26°C, Humidity=66%, Weather=Foggy, Battery=98%, Data=Partial
Line 88: Temp=24°C, Humidity=65%, Weather=Foggy, Battery=84%, Data=Partial
Line 89: Temp=23°C, Humidity=70%, Weather=Sunny, Battery=100%, Data=Pending
Line 90: Temp=23°C, Humidity=71%, Weather=Windy, Battery=92%, Data=Partial
Line 91: Temp=25°C, Humidity=65%, Weather=Windy, Battery=91%, Data=Partial
Line 92: Temp=26°C, Humidity=74%, Weather=Cloudy, Battery=97%, Data=Completed
Line 93: Temp=24°C, Humidity=69%, Weather=Rainy, Battery=90%, Data=Partial
