Parameter,Value
Param_1,572
Param_2,343
Param_3,165
Param_4,870
Param_5,170
Param_6,81
Param_7,630
Param_8,577
Param_9,976
Param_10,155
Param_11,22
Param_12,583
Param_13,533
Param_14,346
Param_15,122
Param_16,284
Param_17,41
Param_18,164
Param_19,596
Param_20,945
Param_21,215
Param_22,949
Param_23,935
Param_24,100
Param_25,222
Param_26,538
Param_27,729
Param_28,457
Param_29,914
Param_30,695
Param_31,28
Param_32,35
Param_33,352
Param_34,643
Param_35,164
Param_36,349
Param_37,506
Param_38,900
Param_39,706
Param_40,452
Param_41,260
Param_42,47
Param_43,815
Param_44,13
Param_45,744
Param_46,790
Param_47,692
Param_48,13
Param_49,676
Param_50,115
Param_51,216
Param_52,70
Param_53,551
Param_54,879
Param_55,881
Param_56,84
Param_57,12
Param_58,876
Param_59,28
Param_60,812
Param_61,182
Param_62,181
Param_63,636
Param_64,163
Param_65,431
Param_66,129
Param_67,466
Param_68,147
Param_69,337
Param_70,883
Param_71,712
Param_72,156
Param_73,488
Param_74,442
Param_75,71
Param_76,227
Param_77,147
Param_78,818
Param_79,371
Param_80,650
Param_81,885
Param_82,144
Param_83,93
Param_84,899
Param_85,708
Param_86,57
Param_87,922
Param_88,52
Param_89,383
Param_90,729
Param_91,542
Param_92,554
Param_93,47
Param_94,153
Param_95,826
Param_96,216
Param_97,924
Param_98,288
Param_99,525
Param_100,282
