Parameter,Value
Param_1,784
Param_2,993
Param_3,74
Param_4,257
Param_5,218
Param_6,146
Param_7,893
Param_8,242
Param_9,92
Param_10,85
Param_11,665
Param_12,766
Param_13,131
Param_14,711
Param_15,848
Param_16,921
Param_17,484
Param_18,384
Param_19,311
Param_20,835
Param_21,503
Param_22,925
Param_23,978
Param_24,899
Param_25,316
Param_26,126
Param_27,80
Param_28,976
Param_29,687
Param_30,482
Param_31,953
Param_32,845
Param_33,664
Param_34,719
Param_35,502
Param_36,961
Param_37,60
Param_38,24
Param_39,762
Param_40,669
Param_41,691
Param_42,283
Param_43,454
Param_44,54
Param_45,790
Param_46,574
Param_47,207
Param_48,801
Param_49,169
Param_50,623
Param_51,207
Param_52,652
Param_53,449
Param_54,476
Param_55,535
Param_56,440
Param_57,915
Param_58,627
Param_59,678
Param_60,352
Param_61,635
Param_62,409
Param_63,297
Param_64,309
Param_65,892
Param_66,999
Param_67,29
Param_68,350
Param_69,190
Param_70,51
Param_71,333
Param_72,284
Param_73,89
Param_74,690
Param_75,478
Param_76,243
Param_77,813
Param_78,176
Param_79,740
Param_80,124
Param_81,677
Param_82,825
Param_83,311
Param_84,246
Param_85,303
Param_86,812
Param_87,304
Param_88,189
Param_89,801
Param_90,148
Param_91,616
Param_92,414
Param_93,383
Param_94,922
Param_95,416
Param_96,341
Param_97,118
Param_98,52
Param_99,96
Param_100,832
