Site: Poitiers
Date: 2025-10-21
Coordinates: -50.139764, 151.606189
Line 1: Temp=27°C, Humidity=65%, Weather=Foggy, Battery=99%, Data=Completed
Line 2: Temp=23°C, Humidity=67%, Weather=Sunny, Battery=91%, Data=Pending
Line 3: Temp=27°C, Humidity=68%, Weather=Foggy, Battery=81%, Data=Partial
Line 4: Temp=27°C, Humidity=65%, Weather=Rainy, Battery=83%, Data=Pending
Line 5: Temp=26°C, Humidity=71%, Weather=Windy, Battery=84%, Data=Partial
Line 6: Temp=24°C, Humidity=65%, Weather=Cloudy, Battery=97%, Data=Partial
Line 7: Temp=27°C, Humidity=72%, Weather=Rainy, Battery=89%, Data=Pending
Line 8: Temp=25°C, Humidity=67%, Weather=Foggy, Battery=91%, Data=Partial
Line 9: Temp=24°C, Humidity=74%, Weather=Windy, Battery=85%, Data=Partial
Line 10: Temp=27°C, Humidity=75%, Weather=Cloudy, Battery=96%, Data=Completed
Line 11: Temp=26°C, Humidity=65%, Weather=Foggy, Battery=92%, Data=Completed
Line 12: Temp=26°C, Humidity=65%, Weather=Foggy, Battery=80%, Data=Partial
Line 13: Temp=23°C, Humidity=66%, Weather=Foggy, Battery=88%, Data=Completed
Line 14: Temp=27°C, Humidity=71%, Weather=Cloudy, Battery=91%, Data=Completed
Line 15: Temp=26°C, Humidity=66%, Weather=Foggy, Battery=86%, Data=Pending
Line 16: Temp=23°C, Humidity=66%, Weather=Foggy, Battery=90%, Data=Pending
Line 17: Temp=24°C, Humidity=71%, Weather=Foggy, Battery=98%, Data=Completed
Line 18: Temp=25°C, Humidity=75%, Weather=Sunny, Battery=98%, Data=Pending
Line 19: Temp=27°C, Humidity=72%, Weather=Sunny, Battery=97%, Data=Completed
Line 20: Temp=23°C, Humidity=74%, Weather=Windy, Battery=100%, Data=Partial
Line 21: Temp=24°C, Humidity=70%, Weather=Rainy, Battery=87%, Data=Pending
Line 22: Temp=27°C, Humidity=68%, Weather=Cloudy, Battery=94%, Data=Partial
