Parameter,Value
Param_1,525
Param_2,290
Param_3,528
Param_4,274
Param_5,504
Param_6,831
Param_7,886
Param_8,710
Param_9,814
Param_10,893
Param_11,637
Param_12,348
Param_13,507
Param_14,644
Param_15,357
Param_16,301
Param_17,841
Param_18,277
Param_19,693
Param_20,100
Param_21,96
Param_22,462
Param_23,100
Param_24,917
Param_25,911
Param_26,102
Param_27,447
Param_28,542
Param_29,495
Param_30,749
Param_31,226
Param_32,529
Param_33,355
Param_34,525
Param_35,987
Param_36,8
Param_37,710
Param_38,590
Param_39,929
Param_40,715
Param_41,549
Param_42,595
Param_43,389
Param_44,921
Param_45,377
Param_46,849
Param_47,554
Param_48,556
Param_49,429
Param_50,567
Param_51,965
Param_52,857
Param_53,496
Param_54,275
Param_55,973
Param_56,516
Param_57,661
Param_58,75
Param_59,567
Param_60,758
Param_61,104
Param_62,524
Param_63,619
Param_64,466
Param_65,59
Param_66,550
Param_67,217
Param_68,647
Param_69,945
Param_70,101
Param_71,688
Param_72,619
Param_73,761
Param_74,330
Param_75,551
Param_76,123
Param_77,34
Param_78,984
Param_79,505
Param_80,262
Param_81,59
Param_82,149
Param_83,358
Param_84,611
Param_85,242
Param_86,511
Param_87,473
Param_88,223
Param_89,182
Param_90,183
Param_91,595
Param_92,874
Param_93,714
Param_94,74
Param_95,952
Param_96,450
Param_97,317
Param_98,478
Param_99,750
Param_100,100
