Parameter,Value
Param_1,887
Param_2,346
Param_3,50
Param_4,915
Param_5,433
Param_6,245
Param_7,513
Param_8,122
Param_9,932
Param_10,399
Param_11,254
Param_12,962
Param_13,220
Param_14,793
Param_15,764
Param_16,548
Param_17,529
Param_18,920
Param_19,220
Param_20,220
Param_21,961
Param_22,75
Param_23,357
Param_24,31
Param_25,799
Param_26,617
Param_27,515
Param_28,54
Param_29,341
Param_30,253
Param_31,14
Param_32,731
Param_33,999
Param_34,316
Param_35,604
Param_36,638
Param_37,786
Param_38,901
Param_39,339
Param_40,57
Param_41,982
Param_42,397
Param_43,464
Param_44,990
Param_45,25
Param_46,958
Param_47,746
Param_48,829
Param_49,99
Param_50,393
Param_51,766
Param_52,184
Param_53,204
Param_54,327
Param_55,275
Param_56,140
Param_57,582
Param_58,211
Param_59,523
Param_60,40
Param_61,557
Param_62,857
Param_63,644
Param_64,935
Param_65,713
Param_66,620
Param_67,883
Param_68,420
Param_69,105
Param_70,408
Param_71,96
Param_72,624
Param_73,376
Param_74,855
Param_75,15
Param_76,511
Param_77,732
Param_78,285
Param_79,735
Param_80,124
Param_81,111
Param_82,981
Param_83,342
Param_84,354
Param_85,709
Param_86,723
Param_87,862
Param_88,423
Param_89,724
Param_90,310
Param_91,933
Param_92,84
Param_93,696
Param_94,89
Param_95,647
Param_96,206
Param_97,873
Param_98,89
Param_99,729
Param_100,200
