Parameter,Value
Param_1,334
Param_2,984
Param_3,996
Param_4,511
Param_5,477
Param_6,426
Param_7,737
Param_8,226
Param_9,416
Param_10,873
Param_11,960
Param_12,22
Param_13,154
Param_14,665
Param_15,69
Param_16,441
Param_17,450
Param_18,552
Param_19,862
Param_20,78
Param_21,851
Param_22,441
Param_23,544
Param_24,583
Param_25,891
Param_26,434
Param_27,898
Param_28,869
Param_29,346
Param_30,332
Param_31,592
Param_32,96
Param_33,412
Param_34,314
Param_35,788
Param_36,96
Param_37,91
Param_38,874
Param_39,382
Param_40,284
Param_41,569
Param_42,300
Param_43,640
Param_44,410
Param_45,71
Param_46,507
Param_47,30
Param_48,111
Param_49,232
Param_50,693
Param_51,662
Param_52,504
Param_53,512
Param_54,663
Param_55,174
Param_56,596
Param_57,4
Param_58,795
Param_59,580
Param_60,198
Param_61,566
Param_62,532
Param_63,490
Param_64,956
Param_65,688
Param_66,591
Param_67,80
Param_68,159
Param_69,629
Param_70,999
Param_71,654
Param_72,1
Param_73,498
Param_74,291
Param_75,839
Param_76,912
Param_77,464
Param_78,632
Param_79,479
Param_80,270
Param_81,439
Param_82,18
Param_83,904
Param_84,676
Param_85,3
Param_86,858
Param_87,438
Param_88,432
Param_89,842
Param_90,660
Param_91,821
Param_92,732
Param_93,508
Param_94,135
Param_95,775
Param_96,948
Param_97,62
Param_98,60
Param_99,29
Param_100,682
