Parameter,Value
Param_1,850
Param_2,490
Param_3,999
Param_4,548
Param_5,273
Param_6,649
Param_7,296
Param_8,29
Param_9,210
Param_10,401
Param_11,519
Param_12,314
Param_13,967
Param_14,452
Param_15,231
Param_16,85
Param_17,713
Param_18,726
Param_19,489
Param_20,517
Param_21,608
Param_22,953
Param_23,24
Param_24,98
Param_25,230
Param_26,837
Param_27,899
Param_28,107
Param_29,662
Param_30,598
Param_31,873
Param_32,487
Param_33,589
Param_34,186
Param_35,663
Param_36,832
Param_37,780
Param_38,800
Param_39,669
Param_40,323
Param_41,489
Param_42,926
Param_43,261
Param_44,749
Param_45,305
Param_46,207
Param_47,401
Param_48,856
Param_49,700
Param_50,789
Param_51,290
Param_52,893
Param_53,501
Param_54,120
Param_55,99
Param_56,276
Param_57,309
Param_58,127
Param_59,363
Param_60,580
Param_61,46
Param_62,577
Param_63,720
Param_64,452
Param_65,343
Param_66,527
Param_67,629
Param_68,902
Param_69,849
Param_70,773
Param_71,481
Param_72,670
Param_73,435
Param_74,268
Param_75,745
Param_76,58
Param_77,683
Param_78,727
Param_79,597
Param_80,125
Param_81,129
Param_82,450
Param_83,522
Param_84,616
Param_85,280
Param_86,156
Param_87,122
Param_88,822
Param_89,499
Param_90,907
Param_91,636
Param_92,97
Param_93,219
Param_94,79
Param_95,186
Param_96,550
Param_97,498
Param_98,781
Param_99,661
Param_100,400
