Parameter,Value
Param_1,681
Param_2,687
Param_3,38
Param_4,715
Param_5,896
Param_6,475
Param_7,496
Param_8,877
Param_9,514
Param_10,821
Param_11,33
Param_12,282
Param_13,643
Param_14,741
Param_15,494
Param_16,161
Param_17,647
Param_18,107
Param_19,331
Param_20,348
Param_21,306
Param_22,253
Param_23,427
Param_24,590
Param_25,183
Param_26,502
Param_27,541
Param_28,797
Param_29,994
Param_30,629
Param_31,123
Param_32,211
Param_33,394
Param_34,435
Param_35,761
Param_36,527
Param_37,587
Param_38,212
Param_39,273
Param_40,848
Param_41,859
Param_42,784
Param_43,844
Param_44,817
Param_45,422
Param_46,165
Param_47,368
Param_48,597
Param_49,92
Param_50,800
Param_51,452
Param_52,314
Param_53,125
Param_54,52
Param_55,408
Param_56,276
Param_57,216
Param_58,453
Param_59,810
Param_60,921
Param_61,779
Param_62,570
Param_63,463
Param_64,820
Param_65,317
Param_66,993
Param_67,585
Param_68,90
Param_69,852
Param_70,252
Param_71,86
Param_72,362
Param_73,949
Param_74,774
Param_75,756
Param_76,731
Param_77,439
Param_78,901
Param_79,652
Param_80,992
Param_81,241
Param_82,671
Param_83,245
Param_84,56
Param_85,168
Param_86,425
Param_87,124
Param_88,929
Param_89,963
Param_90,321
Param_91,576
Param_92,270
Param_93,652
Param_94,905
Param_95,831
Param_96,983
Param_97,395
Param_98,401
Param_99,65
Param_100,690
