Parameter,Value
Param_1,603
Param_2,177
Param_3,587
Param_4,560
Param_5,443
Param_6,433
Param_7,429
Param_8,876
Param_9,519
Param_10,405
Param_11,453
Param_12,201
Param_13,767
Param_14,165
Param_15,65
Param_16,128
Param_17,905
Param_18,765
Param_19,96
Param_20,155
Param_21,208
Param_22,494
Param_23,936
Param_24,962
Param_25,266
Param_26,529
Param_27,530
Param_28,810
Param_29,972
Param_30,533
Param_31,740
Param_32,919
Param_33,908
Param_34,949
Param_35,208
Param_36,905
Param_37,450
Param_38,250
Param_39,345
Param_40,534
Param_41,357
Param_42,761
Param_43,276
Param_44,534
Param_45,589
Param_46,21
Param_47,478
Param_48,609
Param_49,40
Param_50,941
Param_51,117
Param_52,607
Param_53,954
Param_54,432
Param_55,243
Param_56,305
Param_57,359
Param_58,65
Param_59,37
Param_60,482
Param_61,472
Param_62,657
Param_63,38
Param_64,352
Param_65,954
Param_66,801
Param_67,922
Param_68,467
Param_69,460
Param_70,316
Param_71,700
Param_72,376
Param_73,702
Param_74,399
Param_75,499
Param_76,382
Param_77,297
Param_78,424
Param_79,672
Param_80,693
Param_81,40
Param_82,875
Param_83,829
Param_84,332
Param_85,713
Param_86,209
Param_87,376
Param_88,915
Param_89,621
Param_90,873
Param_91,416
Param_92,589
Param_93,184
Param_94,892
Param_95,347
Param_96,15
Param_97,513
Param_98,244
Param_99,9
Param_100,228
