Parameter,Value
Param_1,202
Param_2,865
Param_3,264
Param_4,223
Param_5,454
Param_6,892
Param_7,385
Param_8,968
Param_9,686
Param_10,132
Param_11,5
Param_12,15
Param_13,182
Param_14,971
Param_15,55
Param_16,274
Param_17,221
Param_18,309
Param_19,827
Param_20,922
Param_21,66
Param_22,735
Param_23,954
Param_24,907
Param_25,717
Param_26,555
Param_27,165
Param_28,391
Param_29,755
Param_30,478
Param_31,815
Param_32,561
Param_33,32
Param_34,70
Param_35,898
Param_36,906
Param_37,389
Param_38,536
Param_39,906
Param_40,107
Param_41,593
Param_42,299
Param_43,36
Param_44,614
Param_45,630
Param_46,936
Param_47,855
Param_48,963
Param_49,207
Param_50,341
Param_51,739
Param_52,545
Param_53,968
Param_54,838
Param_55,111
Param_56,369
Param_57,137
Param_58,927
Param_59,772
Param_60,652
Param_61,734
Param_62,310
Param_63,158
Param_64,426
Param_65,84
Param_66,781
Param_67,197
Param_68,124
Param_69,18
Param_70,361
Param_71,50
Param_72,685
Param_73,827
Param_74,759
Param_75,339
Param_76,771
Param_77,419
Param_78,847
Param_79,289
Param_80,201
Param_81,500
Param_82,410
Param_83,137
Param_84,410
Param_85,515
Param_86,848
Param_87,122
Param_88,654
Param_89,712
Param_90,709
Param_91,674
Param_92,428
Param_93,29
Param_94,314
Param_95,540
Param_96,504
Param_97,439
Param_98,970
Param_99,777
Param_100,395
