Parameter,Value
Param_1,217
Param_2,18
Param_3,187
Param_4,924
Param_5,615
Param_6,167
Param_7,422
Param_8,561
Param_9,871
Param_10,103
Param_11,535
Param_12,266
Param_13,335
Param_14,953
Param_15,882
Param_16,223
Param_17,359
Param_18,556
Param_19,455
Param_20,167
Param_21,137
Param_22,362
Param_23,201
Param_24,420
Param_25,406
Param_26,905
Param_27,188
Param_28,410
Param_29,61
Param_30,286
Param_31,943
Param_32,804
Param_33,683
Param_34,299
Param_35,83
Param_36,878
Param_37,568
Param_38,951
Param_39,707
Param_40,355
Param_41,962
Param_42,438
Param_43,603
Param_44,718
Param_45,852
Param_46,644
Param_47,729
Param_48,7
Param_49,417
Param_50,936
Param_51,317
Param_52,956
Param_53,637
Param_54,9
Param_55,25
Param_56,650
Param_57,728
Param_58,473
Param_59,591
Param_60,531
Param_61,590
Param_62,531
Param_63,377
Param_64,312
Param_65,675
Param_66,189
Param_67,562
Param_68,167
Param_69,522
Param_70,647
Param_71,303
Param_72,464
Param_73,782
Param_74,942
Param_75,360
Param_76,707
Param_77,537
Param_78,262
Param_79,385
Param_80,252
Param_81,175
Param_82,991
Param_83,818
Param_84,229
Param_85,77
Param_86,958
Param_87,379
Param_88,396
Param_89,395
Param_90,487
Param_91,677
Param_92,815
Param_93,937
Param_94,568
Param_95,233
Param_96,549
Param_97,912
Param_98,34
Param_99,566
Param_100,907
