Parameter,Value
Param_1,734
Param_2,976
Param_3,702
Param_4,939
Param_5,299
Param_6,358
Param_7,989
Param_8,798
Param_9,711
Param_10,812
Param_11,790
Param_12,75
Param_13,497
Param_14,588
Param_15,726
Param_16,230
Param_17,978
Param_18,201
Param_19,315
Param_20,782
Param_21,71
Param_22,179
Param_23,699
Param_24,283
Param_25,301
Param_26,172
Param_27,381
Param_28,223
Param_29,260
Param_30,630
Param_31,852
Param_32,106
Param_33,791
Param_34,598
Param_35,664
Param_36,447
Param_37,781
Param_38,884
Param_39,671
Param_40,836
Param_41,347
Param_42,173
Param_43,121
Param_44,931
Param_45,352
Param_46,136
Param_47,105
Param_48,893
Param_49,578
Param_50,443
Param_51,183
Param_52,705
Param_53,265
Param_54,849
Param_55,322
Param_56,759
Param_57,8
Param_58,833
Param_59,496
Param_60,253
Param_61,303
Param_62,895
Param_63,565
Param_64,460
Param_65,661
Param_66,482
Param_67,844
Param_68,961
Param_69,5
Param_70,230
Param_71,869
Param_72,73
Param_73,754
Param_74,941
Param_75,601
Param_76,659
Param_77,278
Param_78,447
Param_79,774
Param_80,965
Param_81,242
Param_82,117
Param_83,338
Param_84,596
Param_85,502
Param_86,849
Param_87,353
Param_88,456
Param_89,803
Param_90,909
Param_91,889
Param_92,236
Param_93,420
Param_94,902
Param_95,245
Param_96,854
Param_97,880
Param_98,320
Param_99,313
Param_100,88
