Parameter,Value
Param_1,846
Param_2,148
Param_3,381
Param_4,97
Param_5,53
Param_6,329
Param_7,400
Param_8,337
Param_9,789
Param_10,522
Param_11,149
Param_12,893
Param_13,77
Param_14,645
Param_15,543
Param_16,74
Param_17,418
Param_18,427
Param_19,245
Param_20,646
Param_21,939
Param_22,506
Param_23,108
Param_24,501
Param_25,397
Param_26,796
Param_27,685
Param_28,465
Param_29,370
Param_30,86
Param_31,478
Param_32,567
Param_33,401
Param_34,844
Param_35,241
Param_36,293
Param_37,894
Param_38,173
Param_39,665
Param_40,840
Param_41,227
Param_42,928
Param_43,381
Param_44,722
Param_45,87
Param_46,136
Param_47,236
Param_48,475
Param_49,679
Param_50,67
Param_51,737
Param_52,606
Param_53,379
Param_54,789
Param_55,805
Param_56,175
Param_57,673
Param_58,900
Param_59,66
Param_60,625
Param_61,155
Param_62,550
Param_63,608
Param_64,231
Param_65,288
Param_66,895
Param_67,321
Param_68,691
Param_69,115
Param_70,342
Param_71,620
Param_72,144
Param_73,994
Param_74,301
Param_75,841
Param_76,231
Param_77,464
Param_78,175
Param_79,946
Param_80,925
Param_81,12
Param_82,669
Param_83,664
Param_84,465
Param_85,923
Param_86,59
Param_87,400
Param_88,244
Param_89,251
Param_90,307
Param_91,248
Param_92,30
Param_93,127
Param_94,162
Param_95,544
Param_96,740
Param_97,585
Param_98,913
Param_99,712
Param_100,106
