Parameter,Value
Param_1,410
Param_2,230
Param_3,724
Param_4,843
Param_5,831
Param_6,652
Param_7,437
Param_8,990
Param_9,516
Param_10,325
Param_11,246
Param_12,872
Param_13,538
Param_14,35
Param_15,911
Param_16,358
Param_17,611
Param_18,459
Param_19,11
Param_20,655
Param_21,863
Param_22,33
Param_23,850
Param_24,137
Param_25,835
Param_26,154
Param_27,360
Param_28,216
Param_29,852
Param_30,558
Param_31,852
Param_32,505
Param_33,644
Param_34,624
Param_35,398
Param_36,21
Param_37,571
Param_38,220
Param_39,795
Param_40,168
Param_41,685
Param_42,239
Param_43,583
Param_44,476
Param_45,192
Param_46,859
Param_47,909
Param_48,348
Param_49,194
Param_50,405
Param_51,56
Param_52,25
Param_53,308
Param_54,633
Param_55,700
Param_56,311
Param_57,597
Param_58,524
Param_59,821
Param_60,647
Param_61,502
Param_62,630
Param_63,198
Param_64,589
Param_65,764
Param_66,940
Param_67,477
Param_68,136
Param_69,636
Param_70,160
Param_71,684
Param_72,210
Param_73,355
Param_74,881
Param_75,847
Param_76,674
Param_77,223
Param_78,985
Param_79,630
Param_80,297
Param_81,938
Param_82,912
Param_83,313
Param_84,719
Param_85,818
Param_86,628
Param_87,169
Param_88,491
Param_89,889
Param_90,546
Param_91,313
Param_92,549
Param_93,302
Param_94,876
Param_95,865
Param_96,616
Param_97,338
Param_98,245
Param_99,281
Param_100,354
