Parameter,Value
Param_1,563
Param_2,692
Param_3,586
Param_4,904
Param_5,770
Param_6,459
Param_7,475
Param_8,861
Param_9,661
Param_10,599
Param_11,74
Param_12,592
Param_13,475
Param_14,696
Param_15,490
Param_16,120
Param_17,18
Param_18,872
Param_19,263
Param_20,695
Param_21,59
Param_22,518
Param_23,516
Param_24,487
Param_25,942
Param_26,1
Param_27,962
Param_28,15
Param_29,232
Param_30,771
Param_31,991
Param_32,124
Param_33,563
Param_34,977
Param_35,979
Param_36,654
Param_37,704
Param_38,808
Param_39,369
Param_40,5
Param_41,585
Param_42,893
Param_43,997
Param_44,606
Param_45,429
Param_46,173
Param_47,779
Param_48,633
Param_49,290
Param_50,256
Param_51,70
Param_52,65
Param_53,506
Param_54,935
Param_55,987
Param_56,355
Param_57,162
Param_58,850
Param_59,864
Param_60,817
Param_61,593
Param_62,494
Param_63,463
Param_64,888
Param_65,761
Param_66,463
Param_67,323
Param_68,534
Param_69,748
Param_70,134
Param_71,63
Param_72,306
Param_73,388
Param_74,592
Param_75,635
Param_76,802
Param_77,629
Param_78,751
Param_79,443
Param_80,644
Param_81,823
Param_82,175
Param_83,734
Param_84,666
Param_85,365
Param_86,889
Param_87,171
Param_88,129
Param_89,311
Param_90,600
Param_91,888
Param_92,484
Param_93,916
Param_94,564
Param_95,90
Param_96,14
Param_97,499
Param_98,463
Param_99,468
Param_100,967
