Parameter,Value
Param_1,781
Param_2,330
Param_3,70
Param_4,203
Param_5,50
Param_6,380
Param_7,38
Param_8,675
Param_9,899
Param_10,628
Param_11,373
Param_12,542
Param_13,339
Param_14,549
Param_15,924
Param_16,919
Param_17,283
Param_18,50
Param_19,203
Param_20,636
Param_21,74
Param_22,539
Param_23,400
Param_24,555
Param_25,355
Param_26,262
Param_27,736
Param_28,854
Param_29,244
Param_30,289
Param_31,959
Param_32,296
Param_33,276
Param_34,175
Param_35,369
Param_36,202
Param_37,436
Param_38,866
Param_39,886
Param_40,212
Param_41,296
Param_42,248
Param_43,875
Param_44,801
Param_45,557
Param_46,237
Param_47,547
Param_48,836
Param_49,983
Param_50,382
Param_51,581
Param_52,482
Param_53,828
Param_54,40
Param_55,741
Param_56,870
Param_57,167
Param_58,739
Param_59,709
Param_60,312
Param_61,800
Param_62,35
Param_63,206
Param_64,79
Param_65,812
Param_66,913
Param_67,550
Param_68,227
Param_69,336
Param_70,326
Param_71,62
Param_72,496
Param_73,848
Param_74,123
Param_75,336
Param_76,492
Param_77,741
Param_78,771
Param_79,807
Param_80,957
Param_81,89
Param_82,849
Param_83,187
Param_84,966
Param_85,935
Param_86,905
Param_87,392
Param_88,423
Param_89,956
Param_90,972
Param_91,538
Param_92,165
Param_93,955
Param_94,72
Param_95,739
Param_96,915
Param_97,570
Param_98,479
Param_99,558
Param_100,880
