Parameter,Value
Param_1,738
Param_2,156
Param_3,170
Param_4,82
Param_5,776
Param_6,841
Param_7,875
Param_8,209
Param_9,905
Param_10,338
Param_11,104
Param_12,186
Param_13,350
Param_14,886
Param_15,731
Param_16,265
Param_17,536
Param_18,650
Param_19,185
Param_20,381
Param_21,20
Param_22,905
Param_23,704
Param_24,968
Param_25,173
Param_26,472
Param_27,912
Param_28,210
Param_29,372
Param_30,802
Param_31,37
Param_32,950
Param_33,481
Param_34,709
Param_35,894
Param_36,248
Param_37,331
Param_38,496
Param_39,243
Param_40,133
Param_41,562
Param_42,748
Param_43,630
Param_44,261
Param_45,170
Param_46,583
Param_47,621
Param_48,662
Param_49,683
Param_50,106
Param_51,462
Param_52,896
Param_53,929
Param_54,760
Param_55,504
Param_56,500
Param_57,484
Param_58,924
Param_59,586
Param_60,380
Param_61,771
Param_62,764
Param_63,652
Param_64,711
Param_65,403
Param_66,801
Param_67,100
Param_68,36
Param_69,760
Param_70,433
Param_71,533
Param_72,138
Param_73,633
Param_74,415
Param_75,529
Param_76,934
Param_77,678
Param_78,292
Param_79,203
Param_80,983
Param_81,456
Param_82,28
Param_83,383
Param_84,485
Param_85,398
Param_86,714
Param_87,856
Param_88,515
Param_89,652
Param_90,990
Param_91,37
Param_92,796
Param_93,916
Param_94,987
Param_95,121
Param_96,262
Param_97,948
Param_98,5
Param_99,332
Param_100,416
