Parameter,Value
Param_1,748
Param_2,982
Param_3,660
Param_4,744
Param_5,602
Param_6,136
Param_7,61
Param_8,61
Param_9,893
Param_10,5
Param_11,524
Param_12,709
Param_13,109
Param_14,921
Param_15,646
Param_16,864
Param_17,741
Param_18,650
Param_19,439
Param_20,246
Param_21,617
Param_22,537
Param_23,37
Param_24,364
Param_25,418
Param_26,184
Param_27,850
Param_28,230
Param_29,308
Param_30,143
Param_31,65
Param_32,497
Param_33,57
Param_34,495
Param_35,507
Param_36,167
Param_37,859
Param_38,385
Param_39,614
Param_40,278
Param_41,567
Param_42,199
Param_43,50
Param_44,909
Param_45,523
Param_46,606
Param_47,241
Param_48,57
Param_49,485
Param_50,849
Param_51,778
Param_52,558
Param_53,483
Param_54,493
Param_55,293
Param_56,219
Param_57,257
Param_58,186
Param_59,317
Param_60,470
Param_61,125
Param_62,493
Param_63,943
Param_64,973
Param_65,418
Param_66,221
Param_67,20
Param_68,868
Param_69,341
Param_70,536
Param_71,561
Param_72,49
Param_73,221
Param_74,74
Param_75,831
Param_76,691
Param_77,676
Param_78,612
Param_79,969
Param_80,926
Param_81,482
Param_82,922
Param_83,123
Param_84,661
Param_85,422
Param_86,362
Param_87,105
Param_88,320
Param_89,192
Param_90,509
Param_91,773
Param_92,1
Param_93,594
Param_94,526
Param_95,642
Param_96,178
Param_97,589
Param_98,903
Param_99,91
Param_100,813
