Parameter,Value
Param_1,662
Param_2,932
Param_3,932
Param_4,31
Param_5,556
Param_6,654
Param_7,609
Param_8,364
Param_9,291
Param_10,654
Param_11,681
Param_12,285
Param_13,748
Param_14,204
Param_15,349
Param_16,645
Param_17,756
Param_18,557
Param_19,707
Param_20,764
Param_21,109
Param_22,76
Param_23,182
Param_24,509
Param_25,295
Param_26,835
Param_27,938
Param_28,1
Param_29,918
Param_30,930
Param_31,150
Param_32,314
Param_33,2
Param_34,42
Param_35,369
Param_36,338
Param_37,242
Param_38,535
Param_39,530
Param_40,479
Param_41,136
Param_42,82
Param_43,493
Param_44,252
Param_45,301
Param_46,240
Param_47,236
Param_48,788
Param_49,834
Param_50,842
Param_51,573
Param_52,871
Param_53,516
Param_54,448
Param_55,908
Param_56,750
Param_57,989
Param_58,936
Param_59,14
Param_60,790
Param_61,644
Param_62,233
Param_63,132
Param_64,163
Param_65,898
Param_66,546
Param_67,946
Param_68,399
Param_69,973
Param_70,37
Param_71,377
Param_72,496
Param_73,93
Param_74,62
Param_75,703
Param_76,107
Param_77,480
Param_78,684
Param_79,740
Param_80,359
Param_81,711
Param_82,261
Param_83,648
Param_84,559
Param_85,763
Param_86,861
Param_87,59
Param_88,58
Param_89,354
Param_90,931
Param_91,264
Param_92,945
Param_93,355
Param_94,46
Param_95,190
Param_96,34
Param_97,901
Param_98,350
Param_99,477
Param_100,350
