Site: Skopje
Date: 2025-10-16
Coordinates: 78.131446, 141.793104
Line 1: Temp=25°C, Humidity=71%, Weather=Windy, Battery=80%, Data=Partial
Line 2: Temp=25°C, Humidity=70%, Weather=Foggy, Battery=80%, Data=Pending
Line 3: Temp=23°C, Humidity=70%, Weather=Foggy, Battery=80%, Data=Pending
Line 4: Temp=24°C, Humidity=77%, Weather=Sunny, Battery=91%, Data=Pending
Line 5: Temp=27°C, Humidity=79%, Weather=Windy, Battery=84%, Data=Completed
Line 6: Temp=25°C, Humidity=80%, Weather=Cloudy, Battery=96%, Data=Pending
Line 7: Temp=26°C, Humidity=73%, Weather=Sunny, Battery=92%, Data=Completed
Line 8: Temp=24°C, Humidity=80%, Weather=Cloudy, Battery=90%, Data=Completed
Line 9: Temp=25°C, Humidity=75%, Weather=Cloudy, Battery=95%, Data=Partial
Line 10: Temp=25°C, Humidity=72%, Weather=Foggy, Battery=80%, Data=Pending
Line 11: Temp=27°C, Humidity=73%, Weather=Foggy, Battery=82%, Data=Completed
Line 12: Temp=23°C, Humidity=73%, Weather=Windy, Battery=81%, Data=Pending
Line 13: Temp=24°C, Humidity=73%, Weather=Rainy, Battery=89%, Data=Pending
Line 14: Temp=24°C, Humidity=73%, Weather=Sunny, Battery=84%, Data=Pending
Line 15: Temp=23°C, Humidity=71%, Weather=Cloudy, Battery=84%, Data=Partial
Line 16: Temp=25°C, Humidity=75%, Weather=Rainy, Battery=83%, Data=Pending
Line 17: Temp=26°C, Humidity=75%, Weather=Cloudy, Battery=81%, Data=Pending
Line 18: Temp=23°C, Humidity=76%, Weather=Sunny, Battery=96%, Data=Partial
Line 19: Temp=27°C, Humidity=80%, Weather=Windy, Battery=86%, Data=Partial
Line 20: Temp=23°C, Humidity=77%, Weather=Windy, Battery=94%, Data=Pending
Line 21: Temp=27°C, Humidity=73%, Weather=Sunny, Battery=91%, Data=Pending
Line 22: Temp=27°C, Humidity=79%, Weather=Rainy, Battery=89%, Data=Pending
Line 23: Temp=27°C, Humidity=70%, Weather=Windy, Battery=100%, Data=Partial
Line 24: Temp=24°C, Humidity=80%, Weather=Windy, Battery=85%, Data=Completed
