Parameter,Value
Param_1,333
Param_2,925
Param_3,782
Param_4,446
Param_5,212
Param_6,155
Param_7,356
Param_8,383
Param_9,522
Param_10,981
Param_11,716
Param_12,366
Param_13,878
Param_14,121
Param_15,909
Param_16,280
Param_17,150
Param_18,350
Param_19,838
Param_20,310
Param_21,940
Param_22,377
Param_23,253
Param_24,721
Param_25,612
Param_26,200
Param_27,616
Param_28,888
Param_29,884
Param_30,773
Param_31,229
Param_32,840
Param_33,132
Param_34,218
Param_35,500
Param_36,512
Param_37,390
Param_38,499
Param_39,424
Param_40,751
Param_41,827
Param_42,516
Param_43,420
Param_44,621
Param_45,371
Param_46,36
Param_47,209
Param_48,597
Param_49,720
Param_50,649
Param_51,335
Param_52,854
Param_53,187
Param_54,110
Param_55,832
Param_56,912
Param_57,789
Param_58,567
Param_59,416
Param_60,837
Param_61,705
Param_62,459
Param_63,875
Param_64,643
Param_65,596
Param_66,441
Param_67,648
Param_68,750
Param_69,445
Param_70,522
Param_71,867
Param_72,621
Param_73,880
Param_74,802
Param_75,282
Param_76,74
Param_77,29
Param_78,544
Param_79,101
Param_80,430
Param_81,27
Param_82,5
Param_83,893
Param_84,690
Param_85,283
Param_86,569
Param_87,701
Param_88,945
Param_89,810
Param_90,551
Param_91,891
Param_92,503
Param_93,283
Param_94,397
Param_95,252
Param_96,508
Param_97,973
Param_98,747
Param_99,364
Param_100,520
