Site: Stockholm
Date: 2025-10-29
Coordinates: 69.079726, -8.849954
Line 1: Temp=27°C, Humidity=82%, Weather=Windy, Battery=92%, Data=Partial
Line 2: Temp=27°C, Humidity=76%, Weather=Rainy, Battery=98%, Data=Pending
Line 3: Temp=27°C, Humidity=82%, Weather=Windy, Battery=86%, Data=Partial
Line 4: Temp=29°C, Humidity=77%, Weather=Rainy, Battery=99%, Data=Pending
Line 5: Temp=26°C, Humidity=78%, Weather=Foggy, Battery=98%, Data=Partial
Line 6: Temp=27°C, Humidity=83%, Weather=Rainy, Battery=80%, Data=Completed
Line 7: Temp=28°C, Humidity=75%, Weather=Cloudy, Battery=91%, Data=Partial
Line 8: Temp=30°C, Humidity=79%, Weather=Foggy, Battery=92%, Data=Partial
Line 9: Temp=27°C, Humidity=75%, Weather=Foggy, Battery=81%, Data=Pending
Line 10: Temp=29°C, Humidity=78%, Weather=Rainy, Battery=100%, Data=Pending
Line 11: Temp=27°C, Humidity=78%, Weather=Windy, Battery=96%, Data=Partial
Line 12: Temp=26°C, Humidity=75%, Weather=Rainy, Battery=96%, Data=Pending
Line 13: Temp=26°C, Humidity=79%, Weather=Foggy, Battery=86%, Data=Completed
Line 14: Temp=28°C, Humidity=83%, Weather=Rainy, Battery=98%, Data=Completed
Line 15: Temp=29°C, Humidity=81%, Weather=Sunny, Battery=100%, Data=Partial
Line 16: Temp=29°C, Humidity=77%, Weather=Sunny, Battery=94%, Data=Pending
Line 17: Temp=27°C, Humidity=76%, Weather=Rainy, Battery=81%, Data=Pending
Line 18: Temp=29°C, Humidity=80%, Weather=Rainy, Battery=98%, Data=Partial
Line 19: Temp=26°C, Humidity=83%, Weather=Cloudy, Battery=95%, Data=Pending
Line 20: Temp=29°C, Humidity=74%, Weather=Cloudy, Battery=82%, Data=Completed
Line 21: Temp=26°C, Humidity=78%, Weather=Cloudy, Battery=89%, Data=Completed
Line 22: Temp=30°C, Humidity=76%, Weather=Foggy, Battery=84%, Data=Partial
Line 23: Temp=29°C, Humidity=82%, Weather=Rainy, Battery=97%, Data=Pending
Line 24: Temp=26°C, Humidity=76%, Weather=Rainy, Battery=91%, Data=Pending
Line 25: Temp=30°C, Humidity=79%, Weather=Windy, Battery=89%, Data=Completed
Line 26: Temp=28°C, Humidity=77%, Weather=Foggy, Battery=100%, Data=Pending
Line 27: Temp=28°C, Humidity=80%, Weather=Windy, Battery=92%, Data=Partial
