Parameter,Value
Param_1,287
Param_2,105
Param_3,528
Param_4,491
Param_5,619
Param_6,898
Param_7,988
Param_8,425
Param_9,330
Param_10,623
Param_11,187
Param_12,639
Param_13,130
Param_14,449
Param_15,894
Param_16,89
Param_17,560
Param_18,386
Param_19,775
Param_20,299
Param_21,177
Param_22,754
Param_23,160
Param_24,202
Param_25,532
Param_26,600
Param_27,727
Param_28,534
Param_29,274
Param_30,445
Param_31,810
Param_32,276
Param_33,332
Param_34,631
Param_35,292
Param_36,781
Param_37,371
Param_38,419
Param_39,594
Param_40,145
Param_41,116
Param_42,89
Param_43,176
Param_44,177
Param_45,428
Param_46,962
Param_47,605
Param_48,685
Param_49,53
Param_50,593
Param_51,853
Param_52,504
Param_53,864
Param_54,718
Param_55,824
Param_56,539
Param_57,18
Param_58,941
Param_59,834
Param_60,107
Param_61,388
Param_62,333
Param_63,150
Param_64,365
Param_65,427
Param_66,253
Param_67,758
Param_68,153
Param_69,897
Param_70,373
Param_71,827
Param_72,298
Param_73,556
Param_74,863
Param_75,154
Param_76,831
Param_77,357
Param_78,405
Param_79,800
Param_80,382
Param_81,109
Param_82,989
Param_83,387
Param_84,431
Param_85,96
Param_86,369
Param_87,30
Param_88,586
Param_89,502
Param_90,356
Param_91,64
Param_92,615
Param_93,957
Param_94,598
Param_95,674
Param_96,561
Param_97,440
Param_98,48
Param_99,201
Param_100,419
