Site: Surat
Date: 2025-10-26
Coordinates: 32.607786, 126.961883
Line 1: Temp=27°C, Humidity=71%, Weather=Cloudy, Battery=86%, Data=Pending
Line 2: Temp=23°C, Humidity=80%, Weather=Foggy, Battery=98%, Data=Partial
Line 3: Temp=25°C, Humidity=75%, Weather=Foggy, Battery=86%, Data=Pending
Line 4: Temp=26°C, Humidity=73%, Weather=Sunny, Battery=82%, Data=Partial
Line 5: Temp=25°C, Humidity=78%, Weather=Rainy, Battery=82%, Data=Pending
Line 6: Temp=25°C, Humidity=77%, Weather=Sunny, Battery=89%, Data=Completed
Line 7: Temp=27°C, Humidity=76%, Weather=Cloudy, Battery=100%, Data=Completed
Line 8: Temp=27°C, Humidity=71%, Weather=Windy, Battery=100%, Data=Partial
Line 9: Temp=27°C, Humidity=74%, Weather=Cloudy, Battery=87%, Data=Pending
Line 10: Temp=24°C, Humidity=72%, Weather=Rainy, Battery=85%, Data=Pending
Line 11: Temp=23°C, Humidity=74%, Weather=Foggy, Battery=95%, Data=Pending
Line 12: Temp=24°C, Humidity=74%, Weather=Cloudy, Battery=97%, Data=Completed
Line 13: Temp=24°C, Humidity=70%, Weather=Sunny, Battery=97%, Data=Pending
Line 14: Temp=27°C, Humidity=71%, Weather=Windy, Battery=87%, Data=Pending
Line 15: Temp=24°C, Humidity=79%, Weather=Windy, Battery=99%, Data=Pending
Line 16: Temp=27°C, Humidity=70%, Weather=Rainy, Battery=93%, Data=Completed
Line 17: Temp=25°C, Humidity=73%, Weather=Sunny, Battery=90%, Data=Completed
Line 18: Temp=25°C, Humidity=73%, Weather=Windy, Battery=91%, Data=Partial
Line 19: Temp=26°C, Humidity=78%, Weather=Foggy, Battery=93%, Data=Partial
Line 20: Temp=23°C, Humidity=76%, Weather=Rainy, Battery=96%, Data=Completed
Line 21: Temp=26°C, Humidity=78%, Weather=Rainy, Battery=97%, Data=Pending
Line 22: Temp=24°C, Humidity=73%, Weather=Foggy, Battery=95%, Data=Partial
Line 23: Temp=26°C, Humidity=73%, Weather=Rainy, Battery=95%, Data=Pending
Line 24: Temp=27°C, Humidity=76%, Weather=Foggy, Battery=81%, Data=Partial
Line 25: Temp=24°C, Humidity=71%, Weather=Windy, Battery=84%, Data=Pending
Line 26: Temp=24°C, Humidity=78%, Weather=Windy, Battery=81%, Data=Partial
Line 27: Temp=25°C, Humidity=71%, Weather=Sunny, Battery=87%, Data=Pending
Line 28: Temp=25°C, Humidity=73%, Weather=Windy, Battery=94%, Data=Completed
Line 29: Temp=24°C, Humidity=70%, Weather=Cloudy, Battery=91%, Data=Partial
Line 30: Temp=23°C, Humidity=77%, Weather=Rainy, Battery=97%, Data=Pending
Line 31: Temp=23°C, Humidity=80%, Weather=Foggy, Battery=95%, Data=Completed
Line 32: Temp=27°C, Humidity=70%, Weather=Rainy, Battery=100%, Data=Partial
Line 33: Temp=27°C, Humidity=79%, Weather=Rainy, Battery=80%, Data=Partial
Line 34: Temp=23°C, Humidity=79%, Weather=Rainy, Battery=92%, Data=Pending
Line 35: Temp=25°C, Humidity=75%, Weather=Foggy, Battery=94%, Data=Completed
Line 36: Temp=27°C, Humidity=76%, Weather=Foggy, Battery=82%, Data=Completed
Line 37: Temp=24°C, Humidity=79%, Weather=Rainy, Battery=94%, Data=Partial
Line 38: Temp=24°C, Humidity=74%, Weather=Rainy, Battery=86%, Data=Pending
Line 39: Temp=23°C, Humidity=80%, Weather=Windy, Battery=96%, Data=Pending
