Parameter,Value
Param_1,46
Param_2,730
Param_3,996
Param_4,79
Param_5,846
Param_6,781
Param_7,839
Param_8,818
Param_9,125
Param_10,654
Param_11,230
Param_12,543
Param_13,140
Param_14,903
Param_15,791
Param_16,327
Param_17,797
Param_18,549
Param_19,353
Param_20,541
Param_21,227
Param_22,497
Param_23,747
Param_24,366
Param_25,107
Param_26,84
Param_27,212
Param_28,162
Param_29,291
Param_30,435
Param_31,156
Param_32,400
Param_33,732
Param_34,529
Param_35,509
Param_36,636
Param_37,761
Param_38,449
Param_39,217
Param_40,119
Param_41,783
Param_42,976
Param_43,767
Param_44,759
Param_45,850
Param_46,548
Param_47,478
Param_48,763
Param_49,245
Param_50,729
Param_51,173
Param_52,95
Param_53,191
Param_54,996
Param_55,212
Param_56,595
Param_57,295
Param_58,999
Param_59,316
Param_60,775
Param_61,680
Param_62,132
Param_63,851
Param_64,960
Param_65,93
Param_66,658
Param_67,203
Param_68,143
Param_69,503
Param_70,148
Param_71,285
Param_72,766
Param_73,878
Param_74,276
Param_75,409
Param_76,74
Param_77,2
Param_78,472
Param_79,994
Param_80,972
Param_81,923
Param_82,339
Param_83,262
Param_84,120
Param_85,128
Param_86,556
Param_87,325
Param_88,603
Param_89,562
Param_90,127
Param_91,470
Param_92,807
Param_93,957
Param_94,74
Param_95,493
Param_96,836
Param_97,126
Param_98,410
Param_99,756
Param_100,246
