Parameter,Value
Param_1,865
Param_2,206
Param_3,375
Param_4,958
Param_5,98
Param_6,291
Param_7,882
Param_8,63
Param_9,966
Param_10,828
Param_11,827
Param_12,136
Param_13,898
Param_14,102
Param_15,632
Param_16,862
Param_17,228
Param_18,458
Param_19,46
Param_20,526
Param_21,619
Param_22,65
Param_23,311
Param_24,61
Param_25,46
Param_26,25
Param_27,402
Param_28,408
Param_29,126
Param_30,649
Param_31,517
Param_32,693
Param_33,276
Param_34,862
Param_35,945
Param_36,483
Param_37,215
Param_38,474
Param_39,730
Param_40,472
Param_41,558
Param_42,150
Param_43,371
Param_44,993
Param_45,434
Param_46,354
Param_47,417
Param_48,409
Param_49,935
Param_50,184
Param_51,799
Param_52,539
Param_53,685
Param_54,659
Param_55,94
Param_56,701
Param_57,78
Param_58,785
Param_59,223
Param_60,711
Param_61,614
Param_62,980
Param_63,821
Param_64,829
Param_65,856
Param_66,969
Param_67,48
Param_68,963
Param_69,498
Param_70,532
Param_71,364
Param_72,667
Param_73,416
Param_74,979
Param_75,710
Param_76,236
Param_77,879
Param_78,191
Param_79,621
Param_80,508
Param_81,379
Param_82,956
Param_83,976
Param_84,672
Param_85,628
Param_86,292
Param_87,368
Param_88,554
Param_89,210
Param_90,746
Param_91,50
Param_92,489
Param_93,662
Param_94,514
Param_95,900
Param_96,86
Param_97,70
Param_98,516
Param_99,701
Param_100,936
