Parameter,Value
Param_1,160
Param_2,886
Param_3,766
Param_4,385
Param_5,422
Param_6,542
Param_7,659
Param_8,964
Param_9,529
Param_10,244
Param_11,838
Param_12,518
Param_13,65
Param_14,32
Param_15,896
Param_16,407
Param_17,885
Param_18,787
Param_19,919
Param_20,60
Param_21,984
Param_22,578
Param_23,647
Param_24,752
Param_25,166
Param_26,916
Param_27,688
Param_28,598
Param_29,313
Param_30,515
Param_31,675
Param_32,764
Param_33,83
Param_34,605
Param_35,256
Param_36,299
Param_37,690
Param_38,63
Param_39,723
Param_40,169
Param_41,800
Param_42,186
Param_43,145
Param_44,654
Param_45,853
Param_46,500
Param_47,334
Param_48,317
Param_49,211
Param_50,458
Param_51,872
Param_52,135
Param_53,414
Param_54,466
Param_55,964
Param_56,90
Param_57,234
Param_58,711
Param_59,248
Param_60,344
Param_61,937
Param_62,595
Param_63,978
Param_64,432
Param_65,643
Param_66,228
Param_67,546
Param_68,479
Param_69,631
Param_70,252
Param_71,138
Param_72,577
Param_73,206
Param_74,225
Param_75,15
Param_76,316
Param_77,375
Param_78,363
Param_79,875
Param_80,374
Param_81,832
Param_82,731
Param_83,814
Param_84,364
Param_85,465
Param_86,693
Param_87,457
Param_88,67
Param_89,971
Param_90,15
Param_91,829
Param_92,743
Param_93,617
Param_94,34
Param_95,878
Param_96,327
Param_97,100
Param_98,547
Param_99,92
Param_100,892
