Parameter,Value
Param_1,490
Param_2,341
Param_3,81
Param_4,215
Param_5,242
Param_6,330
Param_7,711
Param_8,78
Param_9,859
Param_10,448
Param_11,875
Param_12,397
Param_13,278
Param_14,505
Param_15,176
Param_16,826
Param_17,139
Param_18,432
Param_19,313
Param_20,152
Param_21,414
Param_22,562
Param_23,167
Param_24,575
Param_25,141
Param_26,335
Param_27,155
Param_28,447
Param_29,845
Param_30,254
Param_31,907
Param_32,887
Param_33,18
Param_34,912
Param_35,248
Param_36,344
Param_37,367
Param_38,878
Param_39,776
Param_40,7
Param_41,23
Param_42,817
Param_43,835
Param_44,635
Param_45,69
Param_46,48
Param_47,116
Param_48,695
Param_49,373
Param_50,100
Param_51,493
Param_52,528
Param_53,292
Param_54,97
Param_55,625
Param_56,998
Param_57,738
Param_58,225
Param_59,556
Param_60,530
Param_61,544
Param_62,160
Param_63,16
Param_64,238
Param_65,459
Param_66,274
Param_67,285
Param_68,803
Param_69,594
Param_70,459
Param_71,265
Param_72,645
Param_73,339
Param_74,841
Param_75,990
Param_76,25
Param_77,81
Param_78,338
Param_79,958
Param_80,126
Param_81,130
Param_82,420
Param_83,257
Param_84,590
Param_85,100
Param_86,579
Param_87,71
Param_88,979
Param_89,619
Param_90,527
Param_91,752
Param_92,48
Param_93,153
Param_94,893
Param_95,880
Param_96,582
Param_97,395
Param_98,446
Param_99,473
Param_100,48
