Parameter,Value
Param_1,15
Param_2,348
Param_3,105
Param_4,847
Param_5,26
Param_6,536
Param_7,105
Param_8,84
Param_9,965
Param_10,325
Param_11,861
Param_12,303
Param_13,378
Param_14,603
Param_15,340
Param_16,968
Param_17,589
Param_18,338
Param_19,394
Param_20,756
Param_21,922
Param_22,579
Param_23,199
Param_24,721
Param_25,821
Param_26,872
Param_27,50
Param_28,998
Param_29,457
Param_30,739
Param_31,907
Param_32,763
Param_33,863
Param_34,857
Param_35,617
Param_36,454
Param_37,402
Param_38,43
Param_39,426
Param_40,131
Param_41,690
Param_42,477
Param_43,314
Param_44,928
Param_45,34
Param_46,191
Param_47,853
Param_48,792
Param_49,476
Param_50,560
Param_51,214
Param_52,739
Param_53,240
Param_54,93
Param_55,194
Param_56,377
Param_57,960
Param_58,129
Param_59,122
Param_60,335
Param_61,92
Param_62,49
Param_63,931
Param_64,496
Param_65,612
Param_66,874
Param_67,460
Param_68,766
Param_69,17
Param_70,625
Param_71,685
Param_72,831
Param_73,960
Param_74,45
Param_75,60
Param_76,906
Param_77,249
Param_78,997
Param_79,171
Param_80,781
Param_81,777
Param_82,463
Param_83,634
Param_84,570
Param_85,154
Param_86,294
Param_87,183
Param_88,724
Param_89,803
Param_90,997
Param_91,809
Param_92,631
Param_93,51
Param_94,717
Param_95,566
Param_96,931
Param_97,869
Param_98,616
Param_99,609
Param_100,563
