Site: Tehran
Date: 2025-10-27
Coordinates: 14.300935, -138.16833
Line 1: Temp=27°C, Humidity=80%, Weather=Foggy, Battery=91%, Data=Completed
Line 2: Temp=24°C, Humidity=78%, Weather=Sunny, Battery=93%, Data=Completed
Line 3: Temp=24°C, Humidity=75%, Weather=Cloudy, Battery=98%, Data=Pending
Line 4: Temp=24°C, Humidity=75%, Weather=Sunny, Battery=94%, Data=Pending
Line 5: Temp=27°C, Humidity=76%, Weather=Windy, Battery=88%, Data=Partial
Line 6: Temp=24°C, Humidity=79%, Weather=Sunny, Battery=84%, Data=Pending
Line 7: Temp=27°C, Humidity=76%, Weather=Windy, Battery=97%, Data=Completed
Line 8: Temp=27°C, Humidity=80%, Weather=Sunny, Battery=83%, Data=Pending
Line 9: Temp=25°C, Humidity=76%, Weather=Foggy, Battery=91%, Data=Pending
Line 10: Temp=26°C, Humidity=76%, Weather=Sunny, Battery=89%, Data=Completed
Line 11: Temp=28°C, Humidity=74%, Weather=Rainy, Battery=85%, Data=Completed
Line 12: Temp=25°C, Humidity=74%, Weather=Cloudy, Battery=100%, Data=Completed
Line 13: Temp=24°C, Humidity=71%, Weather=Sunny, Battery=83%, Data=Pending
Line 14: Temp=26°C, Humidity=76%, Weather=Windy, Battery=80%, Data=Pending
Line 15: Temp=26°C, Humidity=75%, Weather=Cloudy, Battery=90%, Data=Completed
Line 16: Temp=25°C, Humidity=79%, Weather=Cloudy, Battery=86%, Data=Partial
Line 17: Temp=26°C, Humidity=75%, Weather=Sunny, Battery=88%, Data=Partial
Line 18: Temp=27°C, Humidity=78%, Weather=Sunny, Battery=82%, Data=Completed
Line 19: Temp=28°C, Humidity=74%, Weather=Foggy, Battery=88%, Data=Completed
Line 20: Temp=27°C, Humidity=80%, Weather=Sunny, Battery=85%, Data=Completed
Line 21: Temp=25°C, Humidity=73%, Weather=Foggy, Battery=84%, Data=Pending
Line 22: Temp=25°C, Humidity=73%, Weather=Rainy, Battery=89%, Data=Partial
Line 23: Temp=24°C, Humidity=72%, Weather=Foggy, Battery=96%, Data=Completed
Line 24: Temp=28°C, Humidity=81%, Weather=Foggy, Battery=99%, Data=Partial
Line 25: Temp=24°C, Humidity=78%, Weather=Foggy, Battery=98%, Data=Completed
Line 26: Temp=27°C, Humidity=77%, Weather=Foggy, Battery=83%, Data=Pending
Line 27: Temp=25°C, Humidity=78%, Weather=Cloudy, Battery=94%, Data=Partial
Line 28: Temp=24°C, Humidity=72%, Weather=Rainy, Battery=98%, Data=Partial
Line 29: Temp=28°C, Humidity=80%, Weather=Windy, Battery=85%, Data=Pending
Line 30: Temp=28°C, Humidity=78%, Weather=Windy, Battery=85%, Data=Pending
Line 31: Temp=26°C, Humidity=74%, Weather=Foggy, Battery=82%, Data=Completed
Line 32: Temp=25°C, Humidity=80%, Weather=Windy, Battery=90%, Data=Completed
Line 33: Temp=27°C, Humidity=72%, Weather=Cloudy, Battery=95%, Data=Pending
Line 34: Temp=28°C, Humidity=81%, Weather=Cloudy, Battery=83%, Data=Pending
Line 35: Temp=26°C, Humidity=78%, Weather=Rainy, Battery=88%, Data=Pending
Line 36: Temp=25°C, Humidity=79%, Weather=Foggy, Battery=94%, Data=Pending
Line 37: Temp=25°C, Humidity=74%, Weather=Rainy, Battery=100%, Data=Partial
Line 38: Temp=26°C, Humidity=73%, Weather=Windy, Battery=97%, Data=Completed
Line 39: Temp=24°C, Humidity=74%, Weather=Foggy, Battery=96%, Data=Completed
Line 40: Temp=28°C, Humidity=74%, Weather=Rainy, Battery=95%, Data=Partial
Line 41: Temp=28°C, Humidity=73%, Weather=Cloudy, Battery=87%, Data=Completed
Line 42: Temp=24°C, Humidity=75%, Weather=Rainy, Battery=92%, Data=Pending
Line 43: Temp=26°C, Humidity=81%, Weather=Cloudy, Battery=94%, Data=Partial
Line 44: Temp=25°C, Humidity=73%, Weather=Windy, Battery=86%, Data=Pending
Line 45: Temp=28°C, Humidity=73%, Weather=Sunny, Battery=91%, Data=Partial
Line 46: Temp=26°C, Humidity=75%, Weather=Windy, Battery=80%, Data=Completed
