Parameter,Value
Param_1,142
Param_2,733
Param_3,942
Param_4,120
Param_5,849
Param_6,680
Param_7,506
Param_8,78
Param_9,666
Param_10,796
Param_11,454
Param_12,631
Param_13,716
Param_14,175
Param_15,200
Param_16,787
Param_17,605
Param_18,607
Param_19,618
Param_20,186
Param_21,842
Param_22,14
Param_23,638
Param_24,113
Param_25,460
Param_26,122
Param_27,773
Param_28,404
Param_29,389
Param_30,22
Param_31,17
Param_32,792
Param_33,664
Param_34,933
Param_35,829
Param_36,841
Param_37,992
Param_38,813
Param_39,738
Param_40,660
Param_41,459
Param_42,858
Param_43,957
Param_44,74
Param_45,649
Param_46,169
Param_47,272
Param_48,328
Param_49,736
Param_50,784
Param_51,768
Param_52,19
Param_53,355
Param_54,379
Param_55,45
Param_56,67
Param_57,221
Param_58,102
Param_59,881
Param_60,665
Param_61,929
Param_62,868
Param_63,528
Param_64,875
Param_65,830
Param_66,748
Param_67,59
Param_68,595
Param_69,696
Param_70,638
Param_71,404
Param_72,880
Param_73,470
Param_74,622
Param_75,608
Param_76,315
Param_77,414
Param_78,857
Param_79,85
Param_80,624
Param_81,189
Param_82,160
Param_83,0
Param_84,525
Param_85,596
Param_86,470
Param_87,503
Param_88,594
Param_89,305
Param_90,581
Param_91,659
Param_92,238
Param_93,94
Param_94,536
Param_95,776
Param_96,302
Param_97,993
Param_98,136
Param_99,645
Param_100,857
