Parameter,Value
Param_1,744
Param_2,646
Param_3,810
Param_4,267
Param_5,123
Param_6,670
Param_7,944
Param_8,895
Param_9,796
Param_10,35
Param_11,466
Param_12,765
Param_13,398
Param_14,423
Param_15,959
Param_16,884
Param_17,924
Param_18,776
Param_19,266
Param_20,740
Param_21,846
Param_22,952
Param_23,160
Param_24,589
Param_25,257
Param_26,128
Param_27,12
Param_28,400
Param_29,795
Param_30,604
Param_31,4
Param_32,119
Param_33,66
Param_34,863
Param_35,929
Param_36,121
Param_37,557
Param_38,5
Param_39,783
Param_40,534
Param_41,278
Param_42,282
Param_43,806
Param_44,276
Param_45,576
Param_46,22
Param_47,863
Param_48,208
Param_49,299
Param_50,825
Param_51,433
Param_52,469
Param_53,564
Param_54,617
Param_55,166
Param_56,301
Param_57,936
Param_58,46
Param_59,868
Param_60,638
Param_61,824
Param_62,273
Param_63,818
Param_64,138
Param_65,249
Param_66,209
Param_67,640
Param_68,868
Param_69,523
Param_70,362
Param_71,587
Param_72,712
Param_73,560
Param_74,327
Param_75,758
Param_76,672
Param_77,624
Param_78,116
Param_79,194
Param_80,428
Param_81,757
Param_82,293
Param_83,605
Param_84,639
Param_85,907
Param_86,17
Param_87,711
Param_88,523
Param_89,945
Param_90,212
Param_91,816
Param_92,518
Param_93,879
Param_94,130
Param_95,455
Param_96,526
Param_97,909
Param_98,500
Param_99,519
Param_100,398
