Parameter,Value
Param_1,782
Param_2,399
Param_3,412
Param_4,118
Param_5,307
Param_6,674
Param_7,613
Param_8,189
Param_9,35
Param_10,680
Param_11,443
Param_12,267
Param_13,170
Param_14,949
Param_15,938
Param_16,658
Param_17,257
Param_18,331
Param_19,437
Param_20,595
Param_21,88
Param_22,72
Param_23,468
Param_24,786
Param_25,107
Param_26,994
Param_27,412
Param_28,575
Param_29,677
Param_30,755
Param_31,281
Param_32,610
Param_33,253
Param_34,964
Param_35,778
Param_36,334
Param_37,533
Param_38,536
Param_39,573
Param_40,816
Param_41,327
Param_42,643
Param_43,588
Param_44,925
Param_45,279
Param_46,658
Param_47,871
Param_48,39
Param_49,486
Param_50,839
Param_51,402
Param_52,852
Param_53,915
Param_54,523
Param_55,327
Param_56,441
Param_57,147
Param_58,721
Param_59,674
Param_60,904
Param_61,691
Param_62,897
Param_63,845
Param_64,641
Param_65,607
Param_66,627
Param_67,197
Param_68,278
Param_69,910
Param_70,519
Param_71,84
Param_72,117
Param_73,260
Param_74,840
Param_75,542
Param_76,481
Param_77,82
Param_78,891
Param_79,175
Param_80,799
Param_81,198
Param_82,842
Param_83,973
Param_84,835
Param_85,896
Param_86,101
Param_87,196
Param_88,811
Param_89,89
Param_90,793
Param_91,249
Param_92,230
Param_93,130
Param_94,440
Param_95,762
Param_96,414
Param_97,37
Param_98,48
Param_99,103
Param_100,734
