Parameter,Value
Param_1,214
Param_2,857
Param_3,627
Param_4,445
Param_5,74
Param_6,940
Param_7,908
Param_8,360
Param_9,627
Param_10,300
Param_11,528
Param_12,903
Param_13,777
Param_14,770
Param_15,569
Param_16,259
Param_17,551
Param_18,508
Param_19,85
Param_20,789
Param_21,971
Param_22,285
Param_23,200
Param_24,515
Param_25,555
Param_26,299
Param_27,511
Param_28,341
Param_29,28
Param_30,194
Param_31,312
Param_32,146
Param_33,82
Param_34,112
Param_35,203
Param_36,879
Param_37,928
Param_38,209
Param_39,895
Param_40,571
Param_41,631
Param_42,540
Param_43,245
Param_44,758
Param_45,35
Param_46,480
Param_47,564
Param_48,643
Param_49,699
Param_50,521
Param_51,766
Param_52,480
Param_53,769
Param_54,483
Param_55,709
Param_56,791
Param_57,960
Param_58,528
Param_59,177
Param_60,66
Param_61,71
Param_62,750
Param_63,127
Param_64,917
Param_65,766
Param_66,981
Param_67,17
Param_68,610
Param_69,152
Param_70,504
Param_71,203
Param_72,180
Param_73,928
Param_74,769
Param_75,27
Param_76,555
Param_77,712
Param_78,110
Param_79,125
Param_80,178
Param_81,468
Param_82,271
Param_83,691
Param_84,461
Param_85,802
Param_86,671
Param_87,673
Param_88,564
Param_89,10
Param_90,743
Param_91,338
Param_92,682
Param_93,1
Param_94,60
Param_95,187
Param_96,379
Param_97,887
Param_98,307
Param_99,832
Param_100,573
