Parameter,Value
Param_1,884
Param_2,722
Param_3,656
Param_4,222
Param_5,339
Param_6,350
Param_7,25
Param_8,208
Param_9,389
Param_10,650
Param_11,891
Param_12,713
Param_13,161
Param_14,672
Param_15,207
Param_16,375
Param_17,845
Param_18,694
Param_19,931
Param_20,102
Param_21,634
Param_22,318
Param_23,7
Param_24,130
Param_25,372
Param_26,50
Param_27,773
Param_28,125
Param_29,207
Param_30,162
Param_31,38
Param_32,517
Param_33,609
Param_34,530
Param_35,903
Param_36,432
Param_37,432
Param_38,395
Param_39,840
Param_40,188
Param_41,463
Param_42,703
Param_43,767
Param_44,670
Param_45,499
Param_46,19
Param_47,362
Param_48,334
Param_49,621
Param_50,210
Param_51,554
Param_52,280
Param_53,604
Param_54,782
Param_55,22
Param_56,279
Param_57,989
Param_58,298
Param_59,850
Param_60,246
Param_61,243
Param_62,7
Param_63,107
Param_64,190
Param_65,694
Param_66,55
Param_67,655
Param_68,715
Param_69,46
Param_70,530
Param_71,549
Param_72,679
Param_73,274
Param_74,848
Param_75,787
Param_76,960
Param_77,272
Param_78,634
Param_79,938
Param_80,339
Param_81,603
Param_82,439
Param_83,608
Param_84,368
Param_85,749
Param_86,419
Param_87,228
Param_88,846
Param_89,969
Param_90,636
Param_91,629
Param_92,539
Param_93,290
Param_94,87
Param_95,772
Param_96,140
Param_97,993
Param_98,886
Param_99,660
Param_100,693
