Site: Tromso
Date: 2025-10-17
Coordinates: -58.505079, 73.052012
Line 1: Temp=26°C, Humidity=78%, Weather=Rainy, Battery=83%, Data=Partial
Line 2: Temp=25°C, Humidity=80%, Weather=Foggy, Battery=95%, Data=Partial
Line 3: Temp=27°C, Humidity=79%, Weather=Sunny, Battery=95%, Data=Pending
Line 4: Temp=27°C, Humidity=73%, Weather=Foggy, Battery=99%, Data=Completed
Line 5: Temp=26°C, Humidity=76%, Weather=Sunny, Battery=83%, Data=Partial
Line 6: Temp=27°C, Humidity=75%, Weather=Foggy, Battery=88%, Data=Pending
Line 7: Temp=25°C, Humidity=79%, Weather=Rainy, Battery=100%, Data=Completed
Line 8: Temp=26°C, Humidity=76%, Weather=Foggy, Battery=81%, Data=Pending
Line 9: Temp=24°C, Humidity=74%, Weather=Foggy, Battery=97%, Data=Pending
Line 10: Temp=26°C, Humidity=78%, Weather=Foggy, Battery=81%, Data=Partial
Line 11: Temp=27°C, Humidity=78%, Weather=Sunny, Battery=99%, Data=Partial
Line 12: Temp=28°C, Humidity=74%, Weather=Windy, Battery=88%, Data=Pending
Line 13: Temp=24°C, Humidity=74%, Weather=Foggy, Battery=83%, Data=Partial
Line 14: Temp=27°C, Humidity=77%, Weather=Cloudy, Battery=89%, Data=Completed
Line 15: Temp=28°C, Humidity=78%, Weather=Foggy, Battery=85%, Data=Partial
Line 16: Temp=28°C, Humidity=79%, Weather=Cloudy, Battery=99%, Data=Completed
Line 17: Temp=25°C, Humidity=73%, Weather=Foggy, Battery=93%, Data=Partial
Line 18: Temp=26°C, Humidity=76%, Weather=Cloudy, Battery=92%, Data=Partial
Line 19: Temp=28°C, Humidity=76%, Weather=Foggy, Battery=92%, Data=Pending
Line 20: Temp=24°C, Humidity=78%, Weather=Foggy, Battery=98%, Data=Partial
Line 21: Temp=26°C, Humidity=74%, Weather=Foggy, Battery=87%, Data=Completed
Line 22: Temp=26°C, Humidity=79%, Weather=Windy, Battery=82%, Data=Partial
Line 23: Temp=28°C, Humidity=80%, Weather=Cloudy, Battery=82%, Data=Completed
Line 24: Temp=28°C, Humidity=76%, Weather=Cloudy, Battery=83%, Data=Partial
Line 25: Temp=25°C, Humidity=75%, Weather=Windy, Battery=93%, Data=Pending
Line 26: Temp=24°C, Humidity=75%, Weather=Cloudy, Battery=87%, Data=Partial
Line 27: Temp=26°C, Humidity=79%, Weather=Cloudy, Battery=88%, Data=Partial
Line 28: Temp=24°C, Humidity=79%, Weather=Cloudy, Battery=83%, Data=Pending
Line 29: Temp=27°C, Humidity=81%, Weather=Windy, Battery=88%, Data=Partial
Line 30: Temp=28°C, Humidity=78%, Weather=Windy, Battery=96%, Data=Partial
Line 31: Temp=24°C, Humidity=73%, Weather=Rainy, Battery=98%, Data=Partial
Line 32: Temp=25°C, Humidity=79%, Weather=Sunny, Battery=92%, Data=Partial
Line 33: Temp=27°C, Humidity=78%, Weather=Foggy, Battery=85%, Data=Partial
Line 34: Temp=26°C, Humidity=74%, Weather=Cloudy, Battery=80%, Data=Partial
Line 35: Temp=24°C, Humidity=74%, Weather=Windy, Battery=82%, Data=Partial
Line 36: Temp=25°C, Humidity=79%, Weather=Sunny, Battery=86%, Data=Pending
Line 37: Temp=28°C, Humidity=73%, Weather=Windy, Battery=80%, Data=Partial
Line 38: Temp=27°C, Humidity=72%, Weather=Sunny, Battery=89%, Data=Pending
Line 39: Temp=25°C, Humidity=77%, Weather=Windy, Battery=86%, Data=Completed
Line 40: Temp=27°C, Humidity=73%, Weather=Foggy, Battery=89%, Data=Pending
Line 41: Temp=27°C, Humidity=74%, Weather=Cloudy, Battery=91%, Data=Partial
Line 42: Temp=25°C, Humidity=76%, Weather=Foggy, Battery=93%, Data=Completed
Line 43: Temp=24°C, Humidity=80%, Weather=Rainy, Battery=97%, Data=Partial
Line 44: Temp=27°C, Humidity=73%, Weather=Windy, Battery=82%, Data=Pending
Line 45: Temp=28°C, Humidity=80%, Weather=Cloudy, Battery=95%, Data=Pending
Line 46: Temp=24°C, Humidity=75%, Weather=Windy, Battery=98%, Data=Partial
Line 47: Temp=27°C, Humidity=71%, Weather=Rainy, Battery=88%, Data=Completed
Line 48: Temp=25°C, Humidity=79%, Weather=Cloudy, Battery=93%, Data=Pending
Line 49: Temp=25°C, Humidity=80%, Weather=Windy, Battery=95%, Data=Completed
Line 50: Temp=27°C, Humidity=71%, Weather=Windy, Battery=98%, Data=Partial
Line 51: Temp=28°C, Humidity=80%, Weather=Foggy, Battery=90%, Data=Completed
Line 52: Temp=27°C, Humidity=71%, Weather=Cloudy, Battery=90%, Data=Completed
Line 53: Temp=24°C, Humidity=72%, Weather=Rainy, Battery=92%, Data=Completed
Line 54: Temp=25°C, Humidity=77%, Weather=Windy, Battery=84%, Data=Pending
Line 55: Temp=24°C, Humidity=75%, Weather=Sunny, Battery=100%, Data=Pending
Line 56: Temp=28°C, Humidity=72%, Weather=Windy, Battery=83%, Data=Partial
Line 57: Temp=24°C, Humidity=81%, Weather=Rainy, Battery=87%, Data=Partial
Line 58: Temp=27°C, Humidity=71%, Weather=Foggy, Battery=92%, Data=Completed
Line 59: Temp=27°C, Humidity=81%, Weather=Windy, Battery=87%, Data=Partial
Line 60: Temp=26°C, Humidity=79%, Weather=Cloudy, Battery=98%, Data=Partial
Line 61: Temp=28°C, Humidity=74%, Weather=Rainy, Battery=99%, Data=Pending
Line 62: Temp=26°C, Humidity=77%, Weather=Windy, Battery=98%, Data=Pending
Line 63: Temp=25°C, Humidity=73%, Weather=Cloudy, Battery=89%, Data=Pending
Line 64: Temp=24°C, Humidity=80%, Weather=Foggy, Battery=83%, Data=Partial
Line 65: Temp=26°C, Humidity=79%, Weather=Rainy, Battery=95%, Data=Completed
Line 66: Temp=25°C, Humidity=79%, Weather=Cloudy, Battery=90%, Data=Pending
Line 67: Temp=28°C, Humidity=78%, Weather=Cloudy, Battery=81%, Data=Partial
Line 68: Temp=27°C, Humidity=77%, Weather=Sunny, Battery=92%, Data=Pending
Line 69: Temp=25°C, Humidity=79%, Weather=Foggy, Battery=94%, Data=Partial
Line 70: Temp=27°C, Humidity=81%, Weather=Windy, Battery=91%, Data=Completed
Line 71: Temp=27°C, Humidity=79%, Weather=Cloudy, Battery=91%, Data=Partial
Line 72: Temp=28°C, Humidity=79%, Weather=Sunny, Battery=100%, Data=Pending
Line 73: Temp=26°C, Humidity=72%, Weather=Foggy, Battery=84%, Data=Completed
Line 74: Temp=28°C, Humidity=76%, Weather=Windy, Battery=88%, Data=Completed
Line 75: Temp=25°C, Humidity=76%, Weather=Windy, Battery=93%, Data=Pending
Line 76: Temp=25°C, Humidity=77%, Weather=Foggy, Battery=97%, Data=Partial
Line 77: Temp=28°C, Humidity=75%, Weather=Rainy, Battery=85%, Data=Pending
Line 78: Temp=26°C, Humidity=80%, Weather=Rainy, Battery=85%, Data=Pending
Line 79: Temp=28°C, Humidity=73%, Weather=Rainy, Battery=86%, Data=Completed
Line 80: Temp=27°C, Humidity=71%, Weather=Windy, Battery=99%, Data=Completed
Line 81: Temp=25°C, Humidity=75%, Weather=Sunny, Battery=92%, Data=Pending
Line 82: Temp=28°C, Humidity=78%, Weather=Sunny, Battery=97%, Data=Pending
Line 83: Temp=28°C, Humidity=72%, Weather=Sunny, Battery=98%, Data=Completed
Line 84: Temp=24°C, Humidity=78%, Weather=Foggy, Battery=99%, Data=Completed
Line 85: Temp=24°C, Humidity=75%, Weather=Sunny, Battery=91%, Data=Pending
Line 86: Temp=27°C, Humidity=79%, Weather=Rainy, Battery=91%, Data=Partial
Line 87: Temp=26°C, Humidity=71%, Weather=Sunny, Battery=91%, Data=Completed
Line 88: Temp=24°C, Humidity=77%, Weather=Windy, Battery=95%, Data=Partial
Line 89: Temp=27°C, Humidity=73%, Weather=Foggy, Battery=81%, Data=Partial
Line 90: Temp=24°C, Humidity=75%, Weather=Sunny, Battery=87%, Data=Partial
Line 91: Temp=24°C, Humidity=81%, Weather=Foggy, Battery=91%, Data=Pending
Line 92: Temp=26°C, Humidity=74%, Weather=Cloudy, Battery=94%, Data=Partial
Line 93: Temp=24°C, Humidity=81%, Weather=Cloudy, Battery=99%, Data=Pending
Line 94: Temp=25°C, Humidity=74%, Weather=Foggy, Battery=88%, Data=Pending
Line 95: Temp=26°C, Humidity=77%, Weather=Foggy, Battery=87%, Data=Completed
