Site: Vadodara
Date: 2025-10-18
Coordinates: 20.508934, 100.184059
Line 1: Temp=26°C, Humidity=75%, Weather=Rainy, Battery=94%, Data=Partial
Line 2: Temp=28°C, Humidity=72%, Weather=Cloudy, Battery=90%, Data=Pending
Line 3: Temp=25°C, Humidity=76%, Weather=Foggy, Battery=100%, Data=Partial
Line 4: Temp=29°C, Humidity=72%, Weather=Windy, Battery=90%, Data=Completed
Line 5: Temp=26°C, Humidity=81%, Weather=Foggy, Battery=94%, Data=Pending
Line 6: Temp=25°C, Humidity=82%, Weather=Rainy, Battery=94%, Data=Completed
Line 7: Temp=28°C, Humidity=78%, Weather=Foggy, Battery=91%, Data=Completed
Line 8: Temp=26°C, Humidity=79%, Weather=Windy, Battery=83%, Data=Pending
Line 9: Temp=28°C, Humidity=72%, Weather=Sunny, Battery=98%, Data=Completed
Line 10: Temp=25°C, Humidity=82%, Weather=Cloudy, Battery=90%, Data=Pending
Line 11: Temp=26°C, Humidity=78%, Weather=Foggy, Battery=100%, Data=Partial
Line 12: Temp=28°C, Humidity=75%, Weather=Foggy, Battery=91%, Data=Pending
Line 13: Temp=29°C, Humidity=79%, Weather=Sunny, Battery=85%, Data=Completed
Line 14: Temp=25°C, Humidity=76%, Weather=Sunny, Battery=99%, Data=Completed
Line 15: Temp=29°C, Humidity=72%, Weather=Windy, Battery=93%, Data=Completed
Line 16: Temp=25°C, Humidity=74%, Weather=Cloudy, Battery=80%, Data=Partial
Line 17: Temp=25°C, Humidity=73%, Weather=Sunny, Battery=81%, Data=Completed
Line 18: Temp=26°C, Humidity=76%, Weather=Cloudy, Battery=97%, Data=Completed
Line 19: Temp=25°C, Humidity=82%, Weather=Sunny, Battery=80%, Data=Partial
Line 20: Temp=29°C, Humidity=72%, Weather=Sunny, Battery=98%, Data=Pending
Line 21: Temp=28°C, Humidity=79%, Weather=Rainy, Battery=83%, Data=Partial
Line 22: Temp=27°C, Humidity=76%, Weather=Windy, Battery=81%, Data=Partial
Line 23: Temp=27°C, Humidity=78%, Weather=Cloudy, Battery=99%, Data=Partial
Line 24: Temp=27°C, Humidity=79%, Weather=Foggy, Battery=89%, Data=Pending
Line 25: Temp=26°C, Humidity=78%, Weather=Sunny, Battery=82%, Data=Partial
Line 26: Temp=27°C, Humidity=72%, Weather=Rainy, Battery=85%, Data=Pending
Line 27: Temp=29°C, Humidity=77%, Weather=Sunny, Battery=100%, Data=Pending
Line 28: Temp=25°C, Humidity=75%, Weather=Sunny, Battery=97%, Data=Pending
Line 29: Temp=27°C, Humidity=74%, Weather=Rainy, Battery=82%, Data=Partial
Line 30: Temp=25°C, Humidity=76%, Weather=Foggy, Battery=100%, Data=Partial
Line 31: Temp=28°C, Humidity=81%, Weather=Sunny, Battery=99%, Data=Pending
Line 32: Temp=26°C, Humidity=72%, Weather=Foggy, Battery=99%, Data=Partial
Line 33: Temp=27°C, Humidity=79%, Weather=Sunny, Battery=87%, Data=Completed
Line 34: Temp=26°C, Humidity=72%, Weather=Cloudy, Battery=82%, Data=Partial
Line 35: Temp=27°C, Humidity=76%, Weather=Windy, Battery=82%, Data=Pending
Line 36: Temp=27°C, Humidity=75%, Weather=Windy, Battery=89%, Data=Partial
Line 37: Temp=28°C, Humidity=76%, Weather=Sunny, Battery=83%, Data=Pending
Line 38: Temp=25°C, Humidity=76%, Weather=Rainy, Battery=84%, Data=Partial
Line 39: Temp=29°C, Humidity=79%, Weather=Windy, Battery=95%, Data=Completed
Line 40: Temp=25°C, Humidity=81%, Weather=Sunny, Battery=95%, Data=Pending
Line 41: Temp=26°C, Humidity=78%, Weather=Rainy, Battery=80%, Data=Completed
Line 42: Temp=25°C, Humidity=73%, Weather=Foggy, Battery=94%, Data=Pending
Line 43: Temp=26°C, Humidity=76%, Weather=Foggy, Battery=99%, Data=Partial
Line 44: Temp=28°C, Humidity=73%, Weather=Rainy, Battery=82%, Data=Completed
Line 45: Temp=25°C, Humidity=78%, Weather=Foggy, Battery=83%, Data=Partial
Line 46: Temp=25°C, Humidity=80%, Weather=Rainy, Battery=91%, Data=Partial
Line 47: Temp=26°C, Humidity=80%, Weather=Windy, Battery=97%, Data=Partial
Line 48: Temp=27°C, Humidity=76%, Weather=Windy, Battery=100%, Data=Partial
Line 49: Temp=26°C, Humidity=78%, Weather=Cloudy, Battery=93%, Data=Completed
Line 50: Temp=29°C, Humidity=74%, Weather=Windy, Battery=90%, Data=Partial
Line 51: Temp=26°C, Humidity=80%, Weather=Windy, Battery=88%, Data=Completed
